NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Claudio Bravo,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Miguel Pinto,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Luis Marín,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Ismael Fuentes,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Waldo Ponce,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Pablo Contreras,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Arturo Vidal,Bayer 04 Leverkusen,Bundesliga,CM,85.0,89.0,82,84.0,88.0,56.0,66.0
Gary Medel,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Gonzalo Jara,West Bromwich Albion,Barclays Premier League,CDM,68.0,78.0,53,64.0,72.0,50.0,51.0
Mauricio Isla,Udinese,Serie A,RM,82.0,84.0,80,82.0,89.0,59.0,65.0
Carlos Carmona,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Jorge Valdivia,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Marco Estrada,Montpellier Hérault Sport Club,Ligue 1,CDM,74.0,73.0,77,64.0,66.0,61.0,71.0
Matías Fernández,Sporting CP,Liga Portuguesa,CAM,78.0,72.0,28,60.0,52.0,74.0,81.0
Gonzalo Fierro,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Rodrigo Millar,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Rodrigo Tello,Eski?ehirspor,Süper Lig,LM,76.0,72.0,45,76.0,68.0,76.0,68.0
Alexis Sánchez,Udinese,Serie A,RW,86.0,76.0,63,67.0,71.0,85.0,88.0
Humberto Suazo,Monterrey,Primera División Mex,ST,82.0,82.0,63,79.0,79.0,81.0,74.0
Mark González,CSKA Moskva,Rosgosstrakh Championship,LW,78.0,78.0,46,74.0,66.0,76.0,71.0
Jean Beausejour,Birmingham City,Barclays Premier League,LW,73.0,83.0,73,58.0,79.0,50.0,64.0
Fabián Orellana,Granada Club de Fútbol,Liga Adelante,CF,71.0,71.0,77,50.0,70.0,50.0,70.0
