NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Boubacar Barry,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Aristide Zogbo,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Daniel Yeboah,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Benjamin Angoua,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Arthur Boka,VfB Stuttgart,Bundesliga,LWB,74.0,68.0,41,59.0,49.0,71.0,77.0
Kolo Touré,Manchester City,Barclays Premier League,CB,86.0,91.0,84,80.0,90.0,49.0,44.0
Steve Gohouri,Wigan Athletic,Barclays Premier League,CB,69.0,63.0,45,43.0,44.0,69.0,72.0
Siaka Tiéné,Paris Saint-Germain,Ligue 1,LM,70.0,63.0,70,57.0,63.0,68.0,82.0
Guy Demel,Hamburger SV,Bundesliga,RB,73.0,73.0,43,72.0,69.0,69.0,71.0
Emmanuel Eboué,Arsenal,Barclays Premier League,RM,77.0,61.0,74,82.0,66.0,75.0,65.0
Sol Bamba,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Didier Zokora,Sevilla Fútbol Club S.A.D.,Liga BBVA,CDM,81.0,77.0,78,49.0,75.0,63.0,88.0
Cheick Tioté,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Jean-Jacques Gosso,AS Monaco FC,Ligue 1,CDM,73.0,76.0,58,74.0,67.0,74.0,67.0
Romaric,Sevilla Fútbol Club S.A.D.,Liga BBVA,CM,80.0,76.0,83,72.0,75.0,63.0,83.0
Emmanuel Koné,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Kader Keïta,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Yaya Touré,Manchester City,Barclays Premier League,CDM,86.0,83.0,56,82.0,81.0,88.0,84.0
Seydou Doumbia,CSKA Moskva,Rosgosstrakh Championship,ST,83.0,86.0,60,80.0,84.0,88.0,75.0
Salomon Kalou,Chelsea,Barclays Premier League,LW,80.0,77.0,60,65.0,53.0,81.0,80.0
Gervinho,LOSC Lille Métropole,Ligue 1,RW,85.0,83.0,36,71.0,65.0,86.0,80.0
Didier Drogba,Chelsea,Barclays Premier League,ST,89.0,87.0,90,70.0,85.0,72.0,94.0
