NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Thomas Sørensen,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Stephan Andersen,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Jesper Christiansen,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Simon Kjær,VfL Wolfsburg,Bundesliga,CB,81.0,72.0,40,60.0,50.0,80.0,84.0
Daniel Agger,Liverpool,Barclays Premier League,CB,82.0,83.0,83,51.0,82.0,57.0,68.0
William Kvist,FC København,Superliga,CDM,82.0,85.0,73,80.0,83.0,78.0,73.0
Lars Jacobsen,West Ham United,Barclays Premier League,RB,72.0,67.0,71,50.0,71.0,57.0,74.0
Per Krøldrup,Fiorentina,Serie A,CB,76.0,76.0,74,80.0,75.0,70.0,60.0
Simon Poulsen,AZ Alkmaar,Eredivisie,LWB,68.0,68.0,65,60.0,65.0,63.0,68.0
Patrick Mtiliga,Málaga Club de Fútbol S.A.D.,Liga BBVA,LWB,70.0,79.0,59,69.0,69.0,72.0,70.0
Christian Poulsen,Liverpool,Barclays Premier League,CDM,77.0,81.0,69,77.0,81.0,76.0,56.0
Daniel Jensen,Werder Bremen,Bundesliga,CM,75.0,71.0,69,70.0,79.0,62.0,45.0
Jesper Grønkjær,FC København,Superliga,LM,81.0,76.0,81,83.0,80.0,68.0,72.0
Martin Jørgensen,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Thomas Kahlenberg,VfL Wolfsburg,Bundesliga,CAM,76.0,64.0,39,60.0,52.0,75.0,80.0
Jakob Poulsen,FC Midtjylland,Superliga,CM,69.0,68.0,40,68.0,56.0,63.0,75.0
Mikkel Beckmann,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Dennis Rommedahl,Olympiakos CFP,Hellas Liga,RW,74.0,79.0,62,72.0,72.0,76.0,76.0
Thomas Enevoldsen,FC Groningen,Eredivisie,CAM,73.0,70.0,72,69.0,63.0,72.0,76.0
Christian Eriksen,Ajax,Eredivisie,CAM,79.0,80.0,77,63.0,84.0,65.0,78.0
Jon Dahl Tomasson,Feyenoord,Eredivisie,ST,73.0,72.0,73,58.0,62.0,61.0,74.0
Nicklas Bendtner,Arsenal,Barclays Premier League,ST,79.0,80.0,57,68.0,40.0,76.0,79.0
