NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Manuel Neuer,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Tim Wiese,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Hans-Jörg Butt,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Marcell Jansen,Hamburger SV,Bundesliga,LM,78.0,72.0,39,49.0,46.0,75.0,82.0
Arne Friedrich,VfL Wolfsburg,Bundesliga,CB,83.0,80.0,62,73.0,60.0,87.0,90.0
Dennis Aogo,Hamburger SV,Bundesliga,LWB,77.0,76.0,72,77.0,88.0,57.0,62.0
Serdar Tasci,VfB Stuttgart,Bundesliga,CB,80.0,76.0,78,61.0,80.0,54.0,77.0
Holger Badstuber,Bayern München,Bundesliga,CB,76.0,72.0,43,47.0,54.0,70.0,76.0
Philipp Lahm,Bayern München,Bundesliga,RB,88.0,78.0,97,82.0,92.0,60.0,88.0
Per Mertesacker,Werder Bremen,Bundesliga,CB,83.0,82.0,76,85.0,87.0,58.0,65.0
Jérôme Boateng,Manchester City,Barclays Premier League,CB,77.0,79.0,78,63.0,74.0,64.0,68.0
Sami Khedira,Real Madrid Club de Fútbol,Liga BBVA,CM,83.0,84.0,77,62.0,83.0,66.0,86.0
Bastian Schweinsteiger,Bayern München,Bundesliga,CM,87.0,85.0,89,75.0,82.0,64.0,93.0
Mesut Özil,Real Madrid Club de Fútbol,Liga BBVA,CM,87.0,88.0,88,80.0,90.0,73.0,68.0
Lukas Podolski,1. FC Köln,Bundesliga,LF,84.0,78.0,86,86.0,83.0,78.0,71.0
Thomas Müller,Bayern München,Bundesliga,RW,84.0,86.0,80,86.0,91.0,79.0,64.0
Piotr Trochowski,Hamburger SV,Bundesliga,LM,79.0,84.0,73,77.0,78.0,69.0,62.0
Toni Kroos,Bayern München,Bundesliga,CAM,80.0,75.0,79,80.0,78.0,74.0,71.0
Marko Marin,Werder Bremen,Bundesliga,LM,81.0,80.0,78,66.0,71.0,64.0,84.0
Stefan Kießling,Bayer 04 Leverkusen,Bundesliga,ST,84.0,83.0,87,75.0,87.0,61.0,78.0
Miroslav Klose,Bayern München,Bundesliga,ST,85.0,82.0,82,88.0,90.0,59.0,53.0
Cacau,VfB Stuttgart,Bundesliga,ST,81.0,77.0,50,70.0,50.0,82.0,88.0
