NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Daniel Adjei,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Stephen Ahorlu,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Richard Kingson,Blackpool,Barclays Premier League,None,69.0,66.0,50,56.0,58.0,68.0,71.0
Hans Sarpei,FC Schalke 04,Bundesliga,LB,70.0,74.0,68,54.0,71.0,51.0,74.0
John Paintsil,Fulham,Barclays Premier League,RB,77.0,78.0,79,63.0,79.0,61.0,62.0
John Mensah,Sunderland,Barclays Premier League,CB,78.0,74.0,76,76.0,70.0,77.0,66.0
Samuel Inkoom,FC Basel 1893,Axpo Super League,RWB,70.0,77.0,68,75.0,67.0,69.0,74.0
Jonathan Mensah,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Isaac Vorsah,TSG 1899 Hoffenheim,Bundesliga,CB,81.0,85.0,60,85.0,72.0,86.0,76.0
Abdul Rahim Ayew,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Lee Addy,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Anthony Annan,Rosenborg BK,Tippeligaen,CDM,78.0,73.0,42,60.0,47.0,75.0,80.0
Derek Boateng,Getafe Club de Fútbol S.A.D.,Liga BBVA,CDM,77.0,67.0,73,59.0,70.0,74.0,90.0
Stephen Appiah,A.C. Cesena,Serie A,CDM,69.0,78.0,61,63.0,62.0,68.0,64.0
Sulley Muntari,Inter,Serie A,CM,78.0,73.0,59,74.0,74.0,78.0,74.0
André Ayew,Olympique de Marseille,Ligue 1,CAM,82.0,77.0,83,85.0,85.0,75.0,64.0
Quincy Owusu-Abeyie,Málaga Club de Fútbol S.A.D.,Liga BBVA,RW,72.0,75.0,69,66.0,82.0,50.0,52.0
Kwadwo Asamoah,Udinese,Serie A,CM,83.0,88.0,75,83.0,84.0,81.0,75.0
Kevin-Prince Boateng,Milan,Serie A,CAM,83.0,85.0,75,83.0,79.0,79.0,84.0
Asamoah Gyan,Sunderland,Barclays Premier League,ST,83.0,82.0,84,73.0,85.0,61.0,78.0
Prince Tagoe,TSG 1899 Hoffenheim,Bundesliga,ST,73.0,83.0,66,68.0,79.0,54.0,57.0
Matthew Amoah,NAC Breda,Eredivisie,ST,72.0,60.0,44,56.0,43.0,72.0,69.0
