NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Wilson Palacios,Tottenham Hotspur,Barclays Premier League,CM,78.0,68.0,39,59.0,60.0,76.0,80.0
David Suazo,Inter,Serie A,ST,77.0,81.0,60,71.0,64.0,78.0,66.0
Maynor Figueroa,Wigan Athletic,Barclays Premier League,LB,73.0,76.0,69,76.0,77.0,59.0,48.0
Hendry Thomas,Wigan Athletic,Barclays Premier League,CDM,72.0,73.0,70,59.0,69.0,58.0,76.0
Roger Espinoza,Kansas City Wizards,Major League Soccer,LWB,65.0,64.0,41,44.0,33.0,64.0,78.0
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
