af,home team name,Home Team Goals,Away Team Goals,away team name
2010,south-africa,1,1,mexico
2010,uruguay,0,0,france
2010,south-korea,2,0,greece
2010,argentina,1,0,nigeria
2010,england,1,1,usa
2010,algeria,0,1,slovenia
2010,serbia,0,1,ghana
2010,germany,4,0,australia
2010,netherlands,2,0,denmark
2010,japan,1,0,cameroon
2010,italy,1,1,paraguay
2010,new-zealand,1,1,slovakia
2010,cote-d-ivoire,0,0,portugal
2010,brazil,2,1,north-korea
2010,honduras,0,1,chile
2010,spain,0,1,switzerland
2010,south-africa,0,3,uruguay
2010,argentina,4,1,south-korea
2010,greece,2,1,nigeria
2010,france,0,2,mexico
2010,germany,0,1,serbia
2010,slovenia,2,2,usa
2010,england,0,0,algeria
2010,netherlands,1,0,japan
2010,ghana,1,1,australia
2010,cameroon,1,2,denmark
2010,slovakia,0,2,paraguay
2010,italy,1,1,new-zealand
2010,brazil,3,1,cote-d-ivoire
2010,portugal,7,0,north-korea
2010,chile,1,0,switzerland
2010,spain,2,0,honduras
2010,mexico,0,1,uruguay
2010,france,1,2,south-africa
2010,nigeria,2,2,south-korea
2010,greece,0,2,argentina
2010,slovenia,0,1,england
2010,usa,1,0,algeria
2010,ghana,0,1,germany
2010,australia,2,1,serbia
2010,slovakia,3,2,italy
2010,paraguay,0,0,new-zealand
2010,denmark,1,3,japan
2010,cameroon,1,2,netherlands
2010,portugal,0,0,brazil
2010,north-korea,0,3,cote-d-ivoire
2010,chile,1,2,spain
2010,switzerland,0,0,honduras
2010,uruguay,2,1,south-korea
2010,usa,1,2,ghana
2010,germany,4,1,england
2010,argentina,3,1,mexico
2010,netherlands,2,1,slovakia
2010,brazil,3,0,chile
2010,paraguay,0,0,japan
2010,spain,1,0,portugal
2010,netherlands,2,1,brazil
2010,uruguay,1,1,ghana
2010,argentina,0,4,germany
2010,paraguay,0,1,spain
2010,uruguay,2,3,netherlands
2010,germany,0,1,spain
2010,uruguay,2,3,germany
2010,netherlands,0,1,spain
