NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Ryan Nelsen,Blackburn Rovers,Barclays Premier League,CB,78.0,78.0,76,72.0,85.0,72.0,68.0
Tommy Smith,Queens Park Rangers,npower League Championship,RW,72.0,78.0,46,67.0,69.0,71.0,72.0
Shane Smeltz,Gençlerbirli?i SK,Süper Lig,ST,71.0,59.0,52,61.0,57.0,72.0,64.0
Winston Reid,West Ham United,Barclays Premier League,CB,68.0,73.0,66,48.0,61.0,51.0,76.0
Rory Fallon,Plymouth Argyle,npower League One,CF,65.0,70.0,44,60.0,48.0,63.0,60.0
Chris Wood,West Bromwich Albion,Barclays Premier League,ST,63.0,60.0,35,49.0,44.0,65.0,60.0
Leo Bertos,Wellington Phoenix,Hyundai A-League,RM,63.0,74.0,57,58.0,63.0,58.0,55.0
Michael McGlinchey,Central Coast Mariners FC,Hyundai A-League,CAM,60.0,63.0,53,57.0,64.0,57.0,58.0
Ben Sigmund,Wellington Phoenix,Hyundai A-League,CB,59.0,56.0,24,41.0,27.0,62.0,62.0
Tony Lochhead,Wellington Phoenix,Hyundai A-League,LB,58.0,70.0,48,55.0,55.0,54.0,45.0
Andrew Boyens,New York Red Bulls,Major League Soccer,CB,57.0,72.0,50,42.0,53.0,39.0,50.0
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
