NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Ri Myong-Guk,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Kim Myong-Gil,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Kim Myong-Won,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Cha Jong-Hyok,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Ri Jun-Il,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Ri Kwang-Chon,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Ji Yun-Nam,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Pak Chol-Jin,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Pak Nam-Chol,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Nam Song-Chol,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Ri Kwang-Hyok,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Pak Nam-Chol,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Kim Kum-Il,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Mun In-Guk,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Kim Yong-Jun,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
An Yong-Hak,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Ri Chol-Myong,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Kim Kyong-Il,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Pak Sung-Hyok,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
An Chol-Hyok,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Jong Tae-Se,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Hong Yong-Jo,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
