NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Justo Villar,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Diego Barreto,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Aldo Bobadilla,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Darío Verón,U.N.A.M.,Primera División Mex,CB,81.0,75.0,37,70.0,60.0,84.0,86.0
Claudio Morel,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Denis Caniza,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Julio César Cáceres,Atlético Mineiro,Liga do Brasil,CB,71.0,68.0,70,73.0,64.0,68.0,64.0
Carlos Bonet,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Paulo da Silva,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Aureliano Torres,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Antolín Alcaraz,Wigan Athletic,Barclays Premier League,CB,71.0,69.0,45,61.0,49.0,70.0,76.0
Édgar Barreto,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Jonathan Santana,Kayserispor,Süper Lig,CM,71.0,76.0,66,65.0,70.0,69.0,66.0
Enrique Vera,Atlas,Primera División Mex,CDM,70.0,65.0,51,51.0,52.0,70.0,72.0
Víctor Cáceres,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Cristian Riveros,Sunderland,Barclays Premier League,CM,74.0,71.0,73,78.0,79.0,70.0,66.0
Néstor Ortigoza,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Óscar Cardozo,Sport Lisboa Benfica,Liga Portuguesa,ST,84.0,84.0,87,75.0,75.0,64.0,70.0
Roque Santa Cruz,Manchester City,Barclays Premier League,ST,80.0,81.0,82,80.0,82.0,72.0,74.0
Édgar Benítez,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Nelson Valdez,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Lucas Barrios,Borussia Dortmund,Bundesliga,ST,84.0,84.0,45,74.0,58.0,86.0,88.0
