NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Eduardo,Racing Club de Lens,Ligue 1,ST,72,61,47,53,43,68,78
Beto,Gaziantepspor,Süper Lig,ST,74,63,58,66,65,74,66
Daniel Fernandes,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Bruno Alves,Zenit St. Petersburg,Rosgosstrakh Championship,CB,82,79,63,84,86,77,66
Paulo Ferreira,Chelsea,Barclays Premier League,RB,76,72,73,58,69,66,85
Rolando,FC Porto,Liga Portuguesa,CB,82,77,78,85,83,81,73
Duda,Málaga Club de Fútbol S.A.D.,Liga BBVA,LM,79,80,81,73,82,62,78
Ricardo Carvalho,Real Madrid Club de Fútbol,Liga BBVA,CB,86,75,88,87,92,54,60
Miguel,Valencia Club de Fútbol S.A.D.,Liga BBVA,RB,77,80,73,72,80,55,58
Pepe,Real Madrid Club de Fútbol,Liga BBVA,CB,86,80,81,82,81,82,78
Ricardo Costa,Valencia Club de Fútbol S.A.D.,Liga BBVA,CB,77,78,75,62,74,62,74
Fábio Coentrão,Sport Lisboa Benfica,Liga Portuguesa,LB,83,86,75,77,85,61,60
Pedro Mendes,Sporting CP,Liga Portuguesa,CDM,76,83,60,70,79,58,51
Danny,Zenit St. Petersburg,Rosgosstrakh Championship,CAM,87,88,90,84,90,61,64
Simão,Club Atlético de Madrid S.A.D.,Liga BBVA,LW,85,83,89,87,87,67,63
Miguel Veloso,Genoa,Serie A,CDM,78,84,75,60,77,67,76
Raul Meireles,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Rúben Amorim,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Tiago,Club Atlético de Madrid S.A.D.,Liga BBVA,CM,82,85,70,85,84,79,70
Deco,Fluminense,Liga do Brasil,CM,79,69,47,54,59,78,80
Cristiano Ronaldo,Real Madrid Club de Fútbol,Liga BBVA,LW,94,96,99,88,97,66,94
Liédson,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
