NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Ján Mucha,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Dušan Perniš,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Dušan Kuciak,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Peter Pekarík,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Martin Škrtel,Liverpool,Barclays Premier League,CB,80.0,90.0,76,63.0,85.0,49.0,76.0
Marek ?ech,West Bromwich Albion,Barclays Premier League,LWB,68.0,75.0,63,67.0,57.0,70.0,66.0
Radoslav Zabavník,1. FSV Mainz 05,Bundesliga,RB,69.0,70.0,36,58.0,57.0,67.0,65.0
Ján ?urica,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Kornel Saláta,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Martin Petráš,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Zdeno Štrba,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Vladimír Weiss,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Ján Kozák,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Stanislav Šesták,MKE Ankaragücü,Süper Lig,CF,77.0,75.0,51,62.0,50.0,72.0,74.0
Marek Sapara,MKE Ankaragücü,Süper Lig,CM,73.0,69.0,58,66.0,49.0,72.0,75.0
Miroslav Stoch,Fenerbahçe SK,Süper Lig,LW,76.0,60.0,64,76.0,77.0,71.0,58.0
Marek Hamšík,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Juraj Kucka,Sparta Praha,?eská Liga,CM,66.0,59.0,58,57.0,57.0,70.0,48.0
Kamil Kopúnek,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Róbert Vittek,MKE Ankaragücü,Süper Lig,RF,74.0,72.0,58,59.0,53.0,73.0,73.0
Filip Hološko,Be?ikta? JK,Süper Lig,CF,76.0,79.0,71,74.0,73.0,77.0,73.0
Martin Jakubko,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
