NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Samir Handanovi?,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Jasmin Handanovi?,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Aleksander Šeliga,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Mišo Bre?ko,1. FC Köln,Bundesliga,RB,71.0,72.0,65,46.0,63.0,55.0,72.0
Elvedin Džini?,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Marko Šuler,KAA Gent,Belgium Pro League,CB,72.0,77.0,60,75.0,70.0,69.0,64.0
Boštjan Cesar,Chievo Verona,Serie A,CB,72.0,63.0,42,59.0,64.0,71.0,66.0
Branko Ili?,Lokomotiv Moskva,Rosgosstrakh Championship,RB,67.0,70.0,63,60.0,62.0,60.0,74.0
Bojan Joki?,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Suad Filekovi?,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Matej Mavri?,KSV Superfund,Austrian Bundesliga,CB,63.0,71.0,34,56.0,44.0,64.0,71.0
Robert Koren,Hull City,npower League Championship,CAM,75.0,79.0,50,75.0,82.0,62.0,62.0
Rene Krhin,Bologna,Serie A,CM,67.0,79.0,43,61.0,61.0,66.0,60.0
Andraž Kirm,Wis?a Kraków,Ekstraklasa,LM,72.0,68.0,75,75.0,73.0,59.0,56.0
Aleksandar Radosavljevi?,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Andrej Komac,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Dalibor Stevanovi?,Vitesse,Eredivisie,LM,69.0,65.0,68,71.0,70.0,51.0,56.0
Nejc Pe?nik,CD Nacional,Liga Portuguesa,CM,70.0,82.0,64,51.0,72.0,54.0,65.0
Zlatan Ljubijanki?,KAA Gent,Belgium Pro League,ST,69.0,78.0,61,64.0,77.0,52.0,62.0
Valter Birsa,AJ Auxerre,Ligue 1,ST,71.0,70.0,39,48.0,57.0,70.0,76.0
Milivoje Novakovi?,1. FC Köln,Bundesliga,ST,83.0,75.0,77,86.0,87.0,73.0,58.0
Zlatko Dedi?,VfL Bochum,Meisterschale der 2. Bundesliga,RF,71.0,73.0,53,64.0,50.0,70.0,70.0
