NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Lee Woon-Jae,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Jung Sung-Ryong,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Kim Young-Kwang,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Oh Beom-Seok,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Kim Hyung-Il,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Lee Young-Pyo,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Lee Jung-Soo,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Kim Dong-Jin,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Cha Du-Ri,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Kang Min-Soo,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Cho Yong-Hyung,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Kim Nam-Il,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Kim Bo-Kyung,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Park Ji-Sung,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Kim Jae-Sung,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Ki Sung-Yong,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Lee Chung-Yong,Bolton Wanderers,Barclays Premier League,RW,78.0,62.0,57,66.0,62.0,80.0,74.0
Kim Jung-Woo,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Ahn Jung-Hwan,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Park Chu-Young,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Lee Seung-Yeoul,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Yeom Ki-Hun,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
