NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Tim Howard,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Brad Guzan,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Marcus Hahnemann,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Jonathan Spector,West Ham United,Barclays Premier League,RB,72.0,85.0,59,60.0,79.0,43.0,38.0
Carlos Bocanegra,A.S. Saint-Etienne,Ligue 1,CB,75.0,77.0,30,50.0,55.0,67.0,72.0
Oguchi Onyewu,Milan,Serie A,CB,75.0,88.0,70,71.0,72.0,58.0,66.0
Steve Cherundolo,Hannover 96,Bundesliga,RB,74.0,78.0,75,81.0,77.0,78.0,62.0
Jonathan Bornstein,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Jay DeMerit,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Clarence Goodson,IK Start,Tippeligaen,CB,71.0,67.0,45,50.0,48.0,68.0,68.0
Michael Bradley,Borussia M'gladbach,Bundesliga,CM,76.0,79.0,74,61.0,75.0,59.0,78.0
DaMarcus Beasley,Hannover 96,Bundesliga,LM,71.0,71.0,35,50.0,41.0,67.0,72.0
Clint Dempsey,Fulham,Barclays Premier League,LM,83.0,85.0,78,84.0,86.0,58.0,63.0
Landon Donovan,Los Angeles Galaxy,Major League Soccer,RM,85.0,86.0,86,80.0,90.0,62.0,54.0
Stuart Holden,Bolton Wanderers,Barclays Premier League,CM,82.0,81.0,56,78.0,78.0,80.0,78.0
Ricardo Clark,Eintracht Frankfurt,Bundesliga,CDM,71.0,68.0,69,64.0,64.0,73.0,75.0
José Francisco Torres,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Maurice Edu,Rangers,Clydesdale Bank Premier League,CM,73.0,80.0,46,69.0,70.0,71.0,66.0
Benny Feilhaber,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Herculez Gomez,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Edson Buddle,Los Angeles Galaxy,Major League Soccer,ST,72.0,83.0,68,69.0,76.0,66.0,60.0
Jozy Altidore,Villarreal Club de Fútbol S.A.D.,Liga BBVA,ST,80.0,80.0,75,79.0,79.0,81.0,78.0
