NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Mohamed Zemmamouche,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Raïs M'Bolhi,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Madjid Bougherra,CAF,World Cup,CB,74.0,88.0,44.0,70.0,82.0,82.0,71.0
Faouzi Ghoulam,CAF,World Cup,LB,73.0,65.0,35.0,67.0,64.0,71.0,73.0
Essaïd Belkalem,CAF,World Cup,CB,71.0,67.0,39.0,50.0,45.0,72.0,74.0
Rafik Halliche,Académica,Liga Portuguesa,CB,71.0,73.0,47.0,70.0,69.0,59.0,60.0
Djamel Mesbah,CAF,World Cup,LB,71.0,74.0,68.0,72.0,73.0,66.0,71.0
Carl Medjani,CAF,World Cup,CB,71.0,60.0,62.0,73.0,69.0,69.0,63.0
Liassine Cadamuro-Bentaïba,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Aïssa Mandi,CAF,World Cup,RB,73.0,53.0,71.0,81.0,70.0,58.0,54.0
Hassan Yebda,CAF,World Cup,CM,71.0,75.0,69.0,80.0,76.0,43.0,44.0
Sofiane Feghouli,Valencia CF,Liga BBVA,RM,83.0,57.0,76.0,87.0,84.0,71.0,53.0
Yacine Brahimi,Granada CF,Liga BBVA,CAM,77.0,68.0,52.0,80.0,77.0,80.0,73.0
Medhi Lacen,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Nabil Bentaleb,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Abdelmoumene Djabou,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Saphir Taïder,CAF,World Cup,CM,75.0,71.0,62.0,74.0,69.0,76.0,76.0
Riyad Mahrez,Leicester City,FL Championship,RM,65.0,74.0,36.0,54.0,58.0,64.0,64.0
Mehdi Mostefa,CAF,World Cup,CDM,69.0,67.0,46.0,65.0,68.0,71.0,70.0
Nabil Ghilas,CAF,World Cup,ST,74.0,75.0,64.0,82.0,74.0,73.0,66.0
Islam Slimani,CAF,World Cup,ST,75.0,81.0,71.0,69.0,79.0,41.0,72.0
El Arbi Hillel Soudani,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
