NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Agustín Orión,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Mariano Andújar,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Ezequiel Garay,SL Benfica,Liga Portuguesa,CB,88.0,79.0,59.0,68.0,64.0,90.0,87.0
Hugo Campagnaro,Inter,Serie A,CB,83.0,85.0,66.0,77.0,75.0,81.0,76.0
Pablo Zabaleta,CONMEBOL,World Cup,RB,82.0,84.0,81.0,75.0,84.0,58.0,78.0
Martín Demichelis,Manchester City,Barclays PL,CB,82.0,67.0,78.0,84.0,76.0,74.0,56.0
Marcos Rojo,Sporting CP,Liga Portuguesa,CB,78.0,75.0,43.0,66.0,72.0,81.0,82.0
Federico Fernández,CONMEBOL,World Cup,CB,74.0,90.0,80.0,68.0,85.0,46.0,64.0
José María Basanta,Fiorentina,Serie A,CB,72.0,88.0,67.0,68.0,73.0,71.0,71.0
Fernando Gago,CONMEBOL,World Cup,CDM,78.0,73.0,75.0,76.0,85.0,43.0,54.0
Lucas Biglia,CONMEBOL,World Cup,CM,76.0,78.0,65.0,69.0,68.0,77.0,70.0
Ángel di María,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Enzo Pérez,SL Benfica,Liga Portuguesa,CM,83.0,86.0,79.0,78.0,86.0,44.0,65.0
Maxi Rodríguez,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Augusto Fernández,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Javier Mascherano,FC Barcelona,Liga BBVA,CDM,86.0,69.0,57.0,72.0,62.0,89.0,88.0
Ricardo Álvarez,Sunderland,Barclays PL,CAM,77.0,90.0,76.0,70.0,85.0,42.0,63.0
Gonzalo Higuaín,Napoli,Serie A,ST,87.0,59.0,79.0,93.0,84.0,68.0,54.0
Lionel Messi,FC Barcelona,Liga BBVA,CF,98.0,97.0,96.0,92.0,99.0,52.0,77.0
Rodrigo Palacio,Inter,Serie A,ST,83.0,88.0,78.0,85.0,86.0,49.0,60.0
Sergio Agüero,Manchester City,Barclays PL,ST,93.0,93.0,95.0,84.0,95.0,51.0,81.0
Ezequiel Lavezzi,Paris Saint-Germain,Ligue 1,LW,87.0,63.0,55.0,77.0,68.0,89.0,83.0
