NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Simon Mignolet,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Sammy Bossut,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Toby Alderweireld,Southampton,Barclays PL,CB,78.0,66.0,70.0,83.0,75.0,68.0,62.0
Thomas Vermaelen,FC Barcelona,Liga BBVA,CB,81.0,88.0,82.0,77.0,89.0,67.0,51.0
Vincent Kompany,Manchester City,Barclays PL,CB,91.0,85.0,94.0,82.0,94.0,60.0,82.0
Jan Vertonghen,Tottenham Hotspur,Barclays PL,LB,83.0,74.0,48.0,60.0,59.0,82.0,81.0
Daniel Van Buyten,UEFA,World Cup,CB,78.0,80.0,77.0,58.0,70.0,46.0,81.0
Nicolas Lombaerts,UEFA,World Cup,CB,77.0,61.0,78.0,81.0,74.0,75.0,75.0
Anthony Vanden Borre,Anderlecht,Pro League,RB,69.0,69.0,63.0,60.0,69.0,43.0,54.0
Laurent Ciman,UEFA,World Cup,CB,71.0,74.0,60.0,67.0,71.0,70.0,64.0
Axel Witsel,UEFA,World Cup,CDM,80.0,86.0,75.0,72.0,86.0,50.0,54.0
Kevin De Bruyne,VfL Wolfsburg,Bundesliga,CAM,82.0,83.0,83.0,73.0,85.0,41.0,59.0
Marouane Fellaini,Manchester United,Barclays PL,CM,82.0,78.0,81.0,78.0,81.0,74.0,82.0
Eden Hazard,Chelsea,Barclays PL,LM,94.0,94.0,96.0,94.0,95.0,56.0,70.0
Kevin Mirallas,Everton,Barclays PL,RM,80.0,66.0,78.0,84.0,76.0,71.0,74.0
Steven Defour,Anderlecht,Pro League,CM,79.0,55.0,86.0,73.0,72.0,41.0,83.0
Mousa Dembélé,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Adnan Januzaj,Manchester United,Barclays PL,LM,73.0,49.0,41.0,51.0,61.0,72.0,76.0
Nacer Chadli,UEFA,World Cup,LM,78.0,60.0,56.0,75.0,59.0,81.0,84.0
Romelu Lukaku,Everton,Barclays PL,ST,81.0,84.0,81.0,76.0,85.0,44.0,42.0
Dries Mertens,Napoli,Serie A,CAM,82.0,76.0,81.0,61.0,73.0,50.0,78.0
Divock Origi,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
