NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Jasmin Fejzi?,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Asmir Avduki?,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Avdija Vršajevi?,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Ermin Bi?ak?i?,UEFA,World Cup,CB,73.0,76.0,66.0,79.0,74.0,56.0,56.0
Emir Spahi?,Bayer 04 Leverkusen,Bundesliga,CB,80.0,91.0,69.0,80.0,80.0,78.0,67.0
Sead Kolašinac,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Ognjen Vranješ,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Muhamed Beši?,UEFA,World Cup,CB,70.0,81.0,57.0,69.0,76.0,36.0,48.0
Mensur Mujdža,UEFA,World Cup,RB,73.0,62.0,56.0,67.0,65.0,71.0,73.0
Toni Šunji?,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Miralem Pjani?,UEFA,World Cup,CM,81.0,83.0,76.0,80.0,84.0,67.0,86.0
Zvjezdan Misimovi?,UEFA,World Cup,CAM,78.0,80.0,73.0,72.0,75.0,77.0,69.0
Izet Hajrovi?,UEFA,World Cup,RM,74.0,72.0,70.0,74.0,75.0,81.0,81.0
Senad Luli?,UEFA,World Cup,LM,79.0,75.0,81.0,75.0,80.0,54.0,66.0
Senijad Ibri?i?,UEFA,World Cup,CAM,72.0,68.0,60.0,74.0,76.0,66.0,63.0
Haris Medunjanin,UEFA,World Cup,CM,72.0,40.0,51.0,50.0,50.0,73.0,73.0
Anel Hadži?,Sturm Graz,A. Bundesliga,CDM,69.0,78.0,63.0,66.0,71.0,58.0,63.0
Tino-Sven Suši?,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Sejad Salihovi?,1899 Hoffenheim,Bundesliga,LB,79.0,88.0,70.0,56.0,75.0,47.0,84.0
Vedad Ibiševi?,UEFA,World Cup,ST,80.0,79.0,85.0,78.0,80.0,74.0,72.0
Edin Džeko,Manchester City,Barclays PL,ST,85.0,74.0,89.0,72.0,85.0,53.0,81.0
Edin Viš?a,UEFA,World Cup,LM,65.0,72.0,48.0,66.0,64.0,64.0,63.0
