NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Charles Itandje,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Sammy N'Djock,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Benoît Assou-Ekotto,Tottenham Hotspur,Barclays PL,LB,78.0,84.0,74.0,74.0,82.0,49.0,56.0
Nicolas N'Koulou,CAF,World Cup,CB,80.0,87.0,81.0,63.0,81.0,47.0,77.0
Cédric Djeugoué,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Dany Nounkeu,Galatasaray SK,TurkLig,CB,74.0,67.0,69.0,79.0,77.0,60.0,57.0
Henri Bedimo,Olympique Lyonnais,Ligue 1,LB,82.0,67.0,55.0,69.0,70.0,83.0,79.0
Aurélien Chedjou,Galatasaray SK,TurkLig,CB,82.0,83.0,63.0,78.0,79.0,81.0,67.0
Allan Nyom,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Alex Song,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Landry N'Guémo,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Jean Makoun,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Stéphane Mbia,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Eyong Enoh,CAF,World Cup,CDM,72.0,65.0,69.0,75.0,68.0,49.0,46.0
Edgar Salli,Racing Club de Lens,Ligue 2,RW,71.0,75.0,63.0,30.0,68.0,42.0,73.0
Joël Matip,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Benjamin Moukandjo,AS Nancy,Ligue 2,RM,69.0,62.0,27.0,49.0,40.0,69.0,74.0
Samuel Eto'o,Chelsea,Barclays PL,ST,85.0,58.0,84.0,89.0,85.0,64.0,58.0
Vincent Aboubakar,FC Lorient,Ligue 1,ST,74.0,71.0,46.0,72.0,73.0,73.0,71.0
Maxim Choupo-Moting,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Pierre Webó,CAF,World Cup,ST,74.0,61.0,79.0,81.0,77.0,57.0,54.0
Fabrice Olinga,SV Zulte-Waregem,Pro League,LM,65.0,62.0,56.0,57.0,55.0,66.0,60.0
