NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Camilo Vargas,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Faryd Mondragón,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Cristián Zapata,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Mario Yepes,Atalanta,Serie A,CB,78.0,52.0,80.0,84.0,79.0,42.0,61.0
Santiago Arias,PSV,Eredivisie,RB,71.0,70.0,52.0,56.0,54.0,71.0,76.0
Pablo Armero,Udinese,Serie A,LB,80.0,55.0,76.0,84.0,80.0,68.0,61.0
Éder Álvarez Balanta,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Juan Camilo Zúñiga,Napoli,Serie A,LM,79.0,78.0,76.0,76.0,79.0,55.0,67.0
Carlos Valdés,CONMEBOL,World Cup,CB,73.0,70.0,78.0,69.0,75.0,44.0,70.0
Carlos Carbonero,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Carlos Sánchez,CONMEBOL,World Cup,CDM,74.0,80.0,76.0,66.0,80.0,47.0,79.0
Abel Aguilar,CONMEBOL,World Cup,CDM,77.0,75.0,72.0,56.0,78.0,47.0,77.0
James Rodríguez,AS Monaco,Ligue 1,CAM,91.0,84.0,89.0,90.0,89.0,86.0,78.0
Juan Guillermo Cuadrado,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Fredy Guarín,Inter,Serie A,CM,81.0,53.0,51.0,65.0,59.0,82.0,85.0
Víctor Ibarbo,Cagliari,Serie A,ST,77.0,80.0,72.0,51.0,71.0,48.0,81.0
Alexander Mejía,CONMEBOL,World Cup,CDM,72.0,79.0,50.0,71.0,73.0,68.0,70.0
Juan Fernando Quintero,CONMEBOL,World Cup,RM,78.0,65.0,59.0,73.0,53.0,78.0,76.0
Teófilo Gutiérrez,CONMEBOL,World Cup,ST,75.0,86.0,69.0,64.0,81.0,45.0,70.0
Carlos Bacca,Sevilla FC,Liga BBVA,ST,80.0,67.0,67.0,77.0,66.0,79.0,59.0
Adrián Ramos,Hertha BSC,Bundesliga,ST,80.0,78.0,82.0,62.0,75.0,44.0,83.0
Jackson Martínez,FC Porto,Liga Portuguesa,ST,86.0,85.0,87.0,64.0,83.0,59.0,83.0
