NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Patrick Pemberton,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Daniel Cambronero,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Johnny Acosta,CONCACAF,World Cup,CB,65.0,74.0,56.0,65.0,69.0,38.0,58.0
Giancarlo González,Columbus Crew,MLS,CB,70.0,76.0,66.0,48.0,69.0,42.0,66.0
Michael Umaña,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Óscar Duarte,Club Brugge,Pro League,CB,72.0,73.0,67.0,72.0,69.0,70.0,76.0
Heiner Mora,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Waylon Francis,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Júnior Díaz,CONCACAF,World Cup,LWB,71.0,70.0,73.0,46.0,69.0,44.0,71.0
Cristian Gamboa,CONCACAF,World Cup,RWB,71.0,53.0,67.0,72.0,63.0,75.0,72.0
Roy Miller,New York Red Bulls,MLS,LB,65.0,76.0,61.0,59.0,69.0,35.0,61.0
Celso Borges,CONCACAF,World Cup,CAM,74.0,92.0,69.0,53.0,77.0,46.0,74.0
Christian Bolaños,FC København,Superliga,RM,74.0,72.0,74.0,75.0,76.0,67.0,70.0
Michael Barrantes,Aalesunds FK,Tippeligaen,CAM,73.0,88.0,72.0,67.0,74.0,41.0,68.0
Esteban Granados,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Yeltsin Tejeda,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Diego Calvo,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
José Miguel Cubero,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Joel Campbell,Arsenal,Barclays PL,RW,74.0,78.0,48.0,73.0,75.0,72.0,62.0
Bryan Ruiz,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Randall Brenes,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Marco Ureña,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
