NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Oliver Zelenika,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Danijel Subaši?,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Šime Vrsaljko,UEFA,World Cup,RB,72.0,83.0,64.0,74.0,74.0,66.0,64.0
Danijel Pranji?,UEFA,World Cup,LM,73.0,68.0,38.0,66.0,68.0,75.0,70.0
Vedran ?orluka,Lokomotiv Moskva,Russian League,CB,82.0,84.0,77.0,80.0,88.0,51.0,58.0
Dejan Lovren,Southampton,Barclays PL,CB,81.0,82.0,81.0,78.0,81.0,67.0,72.0
Darijo Srna,Shakhtar Donetsk,Ukrayina Liha,RB,82.0,79.0,68.0,83.0,85.0,72.0,63.0
Gordon Schildenfeld,Dinamo Moskva,Russian League,CB,72.0,45.0,34.0,48.0,37.0,74.0,72.0
Domagoj Vida,UEFA,World Cup,RB,70.0,80.0,64.0,66.0,70.0,51.0,54.0
Ivan Periši?,VfL Wolfsburg,Bundesliga,RM,79.0,70.0,48.0,67.0,63.0,79.0,83.0
Ivan Rakiti?,Sevilla FC,Liga BBVA,CM,88.0,81.0,85.0,68.0,82.0,56.0,92.0
Ognjen Vukojevi?,UEFA,World Cup,CDM,77.0,75.0,39.0,55.0,45.0,80.0,83.0
Luka Modri?,Real Madrid,Liga BBVA,CM,90.0,79.0,50.0,71.0,70.0,94.0,92.0
Marcelo Brozovi?,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Ivan Mo?ini?,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Sammir,UEFA,World Cup,CAM,72.0,67.0,68.0,48.0,67.0,43.0,76.0
Mateo Kova?i?,Inter,Serie A,CM,77.0,89.0,65.0,72.0,76.0,72.0,67.0
Nikica Jelavi?,Hull City,Barclays PL,ST,77.0,75.0,74.0,79.0,79.0,68.0,42.0
Ante Rebi?,UEFA,World Cup,ST,66.0,54.0,27.0,47.0,41.0,65.0,73.0
Mario Mandžuki?,Bayern München,Bundesliga,ST,88.0,73.0,92.0,92.0,85.0,81.0,82.0
Ivica Oli?,UEFA,World Cup,ST,78.0,73.0,56.0,73.0,63.0,82.0,83.0
Eduardo,Flamengo,Liga do Brasil,ST,75.0,79.0,65.0,78.0,77.0,60.0,43.0
