NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Adrián Bone,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Alexander Domínguez,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Jorge Guagua,CONMEBOL,World Cup,CB,68.0,60.0,30.0,56.0,51.0,68.0,73.0
Frickson Erazo,CONMEBOL,World Cup,CB,68.0,75.0,64.0,69.0,71.0,57.0,53.0
Juan Carlos Paredes,CONMEBOL,World Cup,RB,67.0,74.0,67.0,68.0,78.0,42.0,57.0
Walter Ayoví,Pachuca,LIGA Bancomer MX,LB,71.0,43.0,41.0,58.0,52.0,73.0,79.0
Óscar Bagüí,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Gabriel Achilier,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Renato Ibarra,CONMEBOL,World Cup,RM,73.0,79.0,47.0,67.0,69.0,72.0,70.0
Christian Noboa,Dinamo Moskva,Russian League,CM,78.0,67.0,66.0,72.0,71.0,80.0,75.0
Jefferson Montero,Swansea City,Barclays PL,RW,76.0,75.0,67.0,76.0,76.0,75.0,71.0
Édison Méndez,CONMEBOL,World Cup,RM,72.0,90.0,64.0,64.0,75.0,57.0,70.0
Joao Rojas,Cruz Azul,LIGA Bancomer MX,LW,73.0,72.0,73.0,52.0,66.0,52.0,72.0
Segundo Castillo,CONMEBOL,World Cup,CDM,71.0,69.0,64.0,78.0,74.0,53.0,54.0
Michael Arroyo,CONMEBOL,World Cup,ST,69.0,54.0,58.0,60.0,64.0,74.0,69.0
Antonio Valencia,CONMEBOL,World Cup,RM,83.0,88.0,75.0,77.0,89.0,59.0,63.0
Luis Saritama,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Fidel Martínez,Tijuana,LIGA Bancomer MX,LW,74.0,67.0,47.0,74.0,70.0,75.0,68.0
Carlos Gruezo,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Felipe Caicedo,RCD Espanyol,Liga BBVA,ST,75.0,84.0,73.0,66.0,80.0,50.0,76.0
Enner Valencia,CONMEBOL,World Cup,RM,66.0,82.0,62.0,62.0,69.0,39.0,60.0
Jaime Ayoví,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
