NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Ben Foster,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Fraser Forster,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Glen Johnson,Liverpool,Barclays PL,RB,79.0,81.0,80.0,77.0,80.0,45.0,66.0
Leighton Baines,Everton,Barclays PL,LB,88.0,90.0,81.0,87.0,91.0,50.0,56.0
Gary Cahill,Chelsea,Barclays PL,CB,85.0,74.0,43.0,64.0,64.0,90.0,85.0
Phil Jagielka,UEFA,World Cup,CB,80.0,88.0,87.0,64.0,76.0,52.0,74.0
Chris Smalling,Manchester United,Barclays PL,CB,78.0,77.0,75.0,60.0,73.0,43.0,82.0
Phil Jones,UEFA,World Cup,CB,80.0,80.0,79.0,84.0,83.0,45.0,57.0
Luke Shaw,Southampton,Barclays PL,LB,74.0,91.0,64.0,73.0,78.0,71.0,59.0
Steven Gerrard,Liverpool,Barclays PL,CDM,88.0,73.0,79.0,86.0,83.0,88.0,89.0
Jack Wilshere,Arsenal,Barclays PL,CM,82.0,84.0,77.0,82.0,84.0,66.0,60.0
Frank Lampard,Manchester City,Barclays PL,CM,81.0,67.0,78.0,83.0,75.0,73.0,56.0
Jordan Henderson,Liverpool,Barclays PL,CM,79.0,62.0,51.0,62.0,58.0,80.0,83.0
Alex Oxlade-Chamberlain,Arsenal,Barclays PL,CDM,79.0,88.0,74.0,74.0,84.0,54.0,65.0
James Milner,Manchester City,Barclays PL,RM,81.0,76.0,64.0,85.0,75.0,83.0,76.0
Raheem Sterling,Liverpool,Barclays PL,RW,83.0,77.0,77.0,89.0,85.0,63.0,66.0
Adam Lallana,Southampton,Barclays PL,CAM,84.0,76.0,78.0,83.0,87.0,52.0,62.0
Ross Barkley,UEFA,World Cup,CAM,77.0,75.0,72.0,77.0,76.0,71.0,71.0
Daniel Sturridge,Liverpool,Barclays PL,ST,87.0,78.0,79.0,82.0,80.0,85.0,85.0
Wayne Rooney,Manchester United,Barclays PL,CAM,92.0,81.0,93.0,90.0,87.0,63.0,86.0
Danny Welbeck,Arsenal,Barclays PL,ST,80.0,74.0,72.0,83.0,82.0,48.0,60.0
Rickie Lambert,Liverpool,Barclays PL,ST,76.0,77.0,66.0,72.0,75.0,73.0,72.0
