NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Ron-Robert Zieler,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Roman Weidenfeller,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Kevin Großkreutz,Borussia Dortmund,Bundesliga,LM,76.0,54.0,64.0,73.0,66.0,74.0,77.0
Benedikt Höwedes,FC Schalke 04,Bundesliga,CB,82.0,64.0,80.0,69.0,76.0,49.0,82.0
Mats Hummels,Borussia Dortmund,Bundesliga,CB,89.0,82.0,64.0,77.0,73.0,91.0,87.0
Erik Durm,Borussia Dortmund,Bundesliga,LB,68.0,76.0,63.0,73.0,75.0,50.0,51.0
Philipp Lahm,Bayern München,Bundesliga,RB,94.0,85.0,64.0,92.0,88.0,92.0,75.0
Per Mertesacker,Arsenal,Barclays PL,CB,87.0,93.0,90.0,84.0,89.0,49.0,64.0
Jérôme Boateng,Bayern München,Bundesliga,CB,84.0,73.0,86.0,70.0,83.0,52.0,78.0
Matthias Ginter,UEFA,World Cup,CB,76.0,77.0,74.0,73.0,81.0,60.0,58.0
Sami Khedira,Real Madrid,Liga BBVA,CM,85.0,83.0,73.0,85.0,83.0,89.0,84.0
Bastian Schweinsteiger,Bayern München,Bundesliga,CM,90.0,83.0,65.0,78.0,75.0,92.0,88.0
Mesut Özil,Arsenal,Barclays PL,CAM,88.0,88.0,84.0,73.0,90.0,44.0,72.0
André Schürrle,Chelsea,Barclays PL,RW,82.0,86.0,74.0,81.0,87.0,44.0,51.0
Thomas Müller,Bayern München,Bundesliga,RM,90.0,78.0,86.0,61.0,81.0,54.0,89.0
Julian Draxler,UEFA,World Cup,LM,80.0,84.0,74.0,65.0,75.0,47.0,78.0
Toni Kroos,Bayern München,Bundesliga,CM,89.0,94.0,90.0,87.0,88.0,76.0,78.0
Mario Götze,Bayern München,Bundesliga,ST,87.0,67.0,64.0,79.0,71.0,90.0,91.0
Marco Reus,Borussia Dortmund,Bundesliga,LM,90.0,95.0,92.0,88.0,90.0,77.0,79.0
Christoph Kramer,Borussia M'gladbach,Bundesliga,CDM,71.0,88.0,54.0,64.0,73.0,45.0,54.0
Lukas Podolski,Arsenal,Barclays PL,LM,81.0,85.0,81.0,70.0,77.0,49.0,80.0
Miroslav Klose,Lazio,Serie A,ST,90.0,76.0,89.0,82.0,86.0,49.0,71.0
