NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Panagiotis Glykos,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Stefanos Kapino,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Giannis Maniatis,UEFA,World Cup,CDM,74.0,78.0,68.0,74.0,85.0,44.0,43.0
Giorgos Tzavellas,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Kostas Manolas,Olympiacos CFP,Hellas Liga,CB,81.0,71.0,76.0,81.0,81.0,72.0,62.0
Vangelis Moras,Hellas Verona,Serie A,CB,71.0,81.0,64.0,66.0,75.0,44.0,60.0
Loukas Vyntra,UEFA,World Cup,CB,75.0,86.0,69.0,64.0,81.0,45.0,70.0
Vasilis Torosidis,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Sokratis Papastathopoulos,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
José Holebas,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Alexandros Tziolis,UEFA,World Cup,CDM,72.0,50.0,49.0,57.0,46.0,75.0,80.0
Panagiotis Kone,Bologna,Serie A,CAM,75.0,71.0,69.0,73.0,79.0,68.0,67.0
Giorgos Karagounis,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Lazaros Christodoulopoulos,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Giannis Fetfatzidis,UEFA,World Cup,RW,74.0,54.0,39.0,46.0,45.0,80.0,83.0
Kostas Katsouranis,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Andreas Samaris,UEFA,World Cup,CDM,72.0,82.0,66.0,64.0,77.0,47.0,54.0
Panagiotis Tachtsidis,Torino,Serie A,CDM,73.0,76.0,40.0,48.0,46.0,72.0,84.0
Giorgos Samaras,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Kostas Mitroglou,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Dimitris Salpingidis,PAOK FC,Hellas Liga,RW,77.0,87.0,57.0,76.0,77.0,71.0,62.0
Theofanis Gekas,Levante UD,Liga BBVA,ST,74.0,76.0,68.0,76.0,75.0,46.0,54.0
