NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Salvatore Sirigu,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Mattia Perin,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Mattia De Sciglio,Milan,Serie A,RB,77.0,59.0,61.0,74.0,70.0,76.0,67.0
Giorgio Chiellini,Juventus,Serie A,CB,91.0,78.0,62.0,80.0,78.0,91.0,86.0
Matteo Darmian,Torino,Serie A,RB,73.0,71.0,61.0,77.0,65.0,71.0,63.0
Ignazio Abate,Milan,Serie A,RB,78.0,86.0,73.0,58.0,78.0,48.0,76.0
Andrea Barzagli,UEFA,World Cup,CB,84.0,81.0,49.0,73.0,73.0,88.0,86.0
Leonardo Bonucci,Juventus,Serie A,CB,81.0,72.0,74.0,80.0,78.0,78.0,78.0
Gabriel Paletta,Parma,Serie A,CB,84.0,75.0,52.0,62.0,59.0,86.0,82.0
Thiago Motta,Paris Saint-Germain,Ligue 1,CDM,85.0,44.0,52.0,62.0,52.0,90.0,87.0
Antonio Candreva,Lazio,Serie A,RW,87.0,89.0,78.0,92.0,88.0,89.0,78.0
Claudio Marchisio,UEFA,World Cup,CM,84.0,76.0,53.0,76.0,70.0,86.0,84.0
Alberto Aquilani,Fiorentina,Serie A,CM,82.0,78.0,48.0,73.0,69.0,85.0,78.0
Daniele De Rossi,Roma,Serie A,CDM,88.0,79.0,80.0,85.0,89.0,47.0,65.0
Marco Parolo,Lazio,Serie A,CM,74.0,72.0,72.0,70.0,67.0,62.0,73.0
Andrea Pirlo,Juventus,Serie A,CM,87.0,60.0,87.0,92.0,88.0,67.0,61.0
Marco Verratti,Paris Saint-Germain,Ligue 1,CDM,83.0,82.0,80.0,78.0,90.0,58.0,71.0
Mario Balotelli,Milan,Serie A,ST,85.0,81.0,76.0,83.0,90.0,47.0,63.0
Antonio Cassano,Parma,Serie A,CF,81.0,75.0,57.0,74.0,76.0,80.0,79.0
Alessio Cerci,Torino,Serie A,CF,86.0,82.0,87.0,92.0,91.0,59.0,69.0
Ciro Immobile,Torino,Serie A,ST,82.0,57.0,86.0,88.0,85.0,69.0,66.0
Lorenzo Insigne,Napoli,Serie A,LW,78.0,84.0,83.0,71.0,81.0,42.0,64.0
