NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Shinji Kagawa,Borussia Dortmund,Bundesliga,CAM,83.0,78.0,71.0,76.0,73.0,82.0,82.0
Keisuke Honda,AFC,World Cup,CAM,81.0,69.0,78.0,84.0,81.0,67.0,62.0
Yuto Nagatomo,AFC,World Cup,LB,77.0,58.0,39.0,57.0,47.0,79.0,82.0
Hiroshi Kiyotake,Hannover 96,Bundesliga,CAM,76.0,73.0,69.0,78.0,79.0,56.0,56.0
Makoto Hasebe,Eintracht Frankfurt,Bundesliga,RM,75.0,74.0,27.0,54.0,61.0,74.0,79.0
Atsuto Uchida,AFC,World Cup,RB,74.0,81.0,78.0,72.0,78.0,56.0,64.0
Shinji Okazaki,AFC,World Cup,RM,74.0,45.0,62.0,70.0,64.0,80.0,82.0
Maya Yoshida,AFC,World Cup,CB,72.0,72.0,50.0,68.0,68.0,75.0,74.0
Hiroki Sakai,AFC,World Cup,RB,71.0,75.0,59.0,70.0,72.0,71.0,61.0
Yasuyuki Konno,AFC,World Cup,CB,71.0,66.0,72.0,72.0,73.0,49.0,60.0
Masahiko Inoha,AFC,World Cup,CB,69.0,76.0,58.0,66.0,72.0,42.0,54.0
,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
