NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Alfredo Talavera,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Guillermo Ochoa,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Francisco Javier Rodríguez,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Carlos Salcido,Tigres U.A.N.L.,LIGA Bancomer MX,CDM,73.0,79.0,67.0,69.0,78.0,44.0,54.0
Rafael Márquez,León,LIGA Bancomer MX,CB,77.0,56.0,37.0,54.0,44.0,79.0,79.0
Diego Reyes,FC Porto,Liga Portuguesa,CB,75.0,66.0,48.0,72.0,67.0,78.0,74.0
Miguel Layún,CONCACAF,World Cup,LWB,72.0,79.0,60.0,69.0,75.0,71.0,64.0
Héctor Moreno,CONCACAF,World Cup,CB,78.0,70.0,60.0,68.0,63.0,79.0,84.0
Miguel Ángel Ponce,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Andrés Guardado,PSV,Eredivisie,LB,81.0,73.0,80.0,60.0,75.0,51.0,78.0
Paul Aguilar,CONCACAF,World Cup,RWB,73.0,63.0,68.0,65.0,69.0,47.0,75.0
Héctor Herrera,CONCACAF,World Cup,CM,74.0,65.0,81.0,68.0,73.0,49.0,73.0
Marco Fabián,Cruz Azul,LIGA Bancomer MX,CAM,73.0,79.0,62.0,72.0,75.0,71.0,62.0
Isaác Brizuela,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Javier Aquino,Rayo Vallecano,Liga BBVA,RM,73.0,64.0,54.0,62.0,64.0,78.0,79.0
Carlos Peña,CONCACAF,World Cup,CM,75.0,85.0,74.0,59.0,78.0,41.0,62.0
José Juan Vázquez,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Raúl Jiménez,CONCACAF,World Cup,ST,74.0,77.0,71.0,76.0,80.0,41.0,46.0
Giovani dos Santos,Villarreal CF,Liga BBVA,ST,81.0,93.0,66.0,76.0,87.0,62.0,58.0
Alan Pulido,Tigres U.A.N.L.,LIGA Bancomer MX,ST,68.0,63.0,68.0,67.0,63.0,43.0,66.0
Javier Hernández,Real Madrid,Liga BBVA,ST,82.0,78.0,51.0,78.0,76.0,80.0,78.0
Oribe Peralta,Santos Laguna,LIGA Bancomer MX,ST,80.0,78.0,61.0,82.0,71.0,80.0,81.0
