NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Michel Vorm,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Tim Krul,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Ron Vlaar,Aston Villa,Barclays PL,CB,79.0,75.0,75.0,62.0,80.0,46.0,80.0
Stefan de Vrij,Feyenoord,Eredivisie,CB,78.0,78.0,41.0,67.0,62.0,75.0,80.0
Bruno Martins Indi,UEFA,World Cup,CB,76.0,83.0,61.0,74.0,76.0,76.0,68.0
Daley Blind,Ajax,Eredivisie,CB,77.0,69.0,53.0,68.0,57.0,79.0,79.0
Daryl JanmaatPaul Verhaegh,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Joël Veltman,Ajax,Eredivisie,CB,73.0,81.0,63.0,73.0,81.0,40.0,44.0
Terence Kongolo,Feyenoord,Eredivisie,CB,67.0,79.0,54.0,66.0,65.0,65.0,60.0
Jonathan de Guzmán,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Nigel de Jong,UEFA,World Cup,CDM,80.0,91.0,69.0,80.0,80.0,78.0,67.0
Wesley Sneijder,Galatasaray SK,TurkLig,CAM,88.0,68.0,66.0,81.0,72.0,92.0,93.0
Arjen Robben,Bayern München,Bundesliga,RM,93.0,95.0,96.0,90.0,97.0,55.0,68.0
Jordy Clasie,UEFA,World Cup,CM,76.0,63.0,49.0,59.0,63.0,77.0,74.0
Leroy Fer,Queens Park Rangers,FL Championship,CM,76.0,78.0,68.0,72.0,71.0,78.0,71.0
Georginio Wijnaldum,PSV,Eredivisie,CAM,78.0,65.0,76.0,81.0,69.0,73.0,67.0
Memphis Depay,PSV,Eredivisie,LW,80.0,77.0,55.0,59.0,58.0,80.0,79.0
Robin van Persie,Manchester United,Barclays PL,ST,91.0,92.0,92.0,91.0,93.0,52.0,66.0
Dirk Kuyt,UEFA,World Cup,RW,75.0,87.0,66.0,66.0,76.0,45.0,68.0
Jeremain Lens,UEFA,World Cup,LW,80.0,78.0,74.0,84.0,74.0,79.0,64.0
Klaas-Jan Huntelaar,FC Schalke 04,Bundesliga,ST,86.0,73.0,87.0,67.0,76.0,51.0,86.0
,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
