NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Mathew Ryan,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Danny Vukovic,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Brad Jones,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Mark Milligan,Al Ahli,Abdul Latif Jameel League,CDM,74.0,77.0,43.0,62.0,74.0,71.0,65.0
Matthew Jurman,Suwon Samsung Bluewings,K LEAGUE Classic,CB,69.0,56.0,32.0,50.0,52.0,66.0,80.0
Trent Sainsbury,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Josh Risdon,Western Sydney Wanderers,Hyundai A-League,RB,70.0,66.0,72.0,65.0,72.0,35.0,63.0
Milos Degenek,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Aziz Behich,Bursaspor,Süper Lig,LB,73.0,74.0,66.0,72.0,73.0,70.0,75.0
James Meredith,Millwall,EFL Championship,LB,68.0,76.0,59.0,61.0,71.0,38.0,48.0
Aaron Mooy,Huddersfield Town,Premier League,CM,84.0,84.0,83.0,84.0,86.0,48.0,77.0
Mile Jedinak,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Tom Rogic,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Massimo Luongo,Queens Park Rangers,EFL Championship,CM,70.0,76.0,69.0,66.0,75.0,33.0,58.0
Jackson Irvine,Hull City,EFL Championship,CM,71.0,89.0,63.0,62.0,73.0,37.0,53.0
Jamie Maclaren,Hibernian,Scottish Premiership,ST,73.0,86.0,66.0,65.0,80.0,35.0,59.0
Andrew Nabbout,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Robbie Kruse,VfL Bochum 1848,Bundesliga 2,RM,72.0,72.0,72.0,65.0,70.0,29.0,73.0
Daniel Arzani,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Tomi Juric,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Mathew Leckie,Hertha Berlin,Bundesliga,LM,72.0,76.0,71.0,63.0,77.0,24.0,54.0
Dimitri Petratos,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Tim Cahill,Melbourne City,Hyundai A-League,ST,78.0,73.0,68.0,76.0,78.0,68.0,79.0
