NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Keylor Navas,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Patrick Pemberton,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Leonel Moreira,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Ian Smith,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Óscar Duarte,RCD Espanyol,LaLiga Santander,CB,77.0,77.0,77.0,71.0,76.0,35.0,80.0
Kendall Waston,Vancouver Whitecaps FC,Major League Soccer,CB,80.0,65.0,62.0,74.0,77.0,72.0,78.0
Bryan Oviedo,Sunderland,EFL Championship,LWB,79.0,71.0,75.0,67.0,69.0,29.0,85.0
Johnny Acosta,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Cristian Gamboa,Celtic,Scottish Premiership,RB,72.0,69.0,60.0,62.0,57.0,68.0,83.0
Rónald Matarrita,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Giancarlo González,Bologna,Calcio A,CB,75.0,85.0,70.0,64.0,74.0,33.0,76.0
Francisco Calvo,Minnesota United FC,Major League Soccer,CB,71.0,79.0,60.0,70.0,69.0,67.0,66.0
David Guzmán,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Yeltsin Tejeda,FC Lausanne-Sport,Raiffeisen Super League,CM,68.0,75.0,61.0,72.0,73.0,33.0,46.0
Rodney Wallace,New York City Football Club,Major League Soccer,LM,68.0,62.0,68.0,55.0,58.0,39.0,67.0
Bryan Ruiz,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Daniel Colindres,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Christian Bolaños,Vancouver Whitecaps FC,Major League Soccer,RM,71.0,61.0,50.0,52.0,54.0,70.0,74.0
Celso Borges,RC Deportivo de La Coruña,LaLiga Santander,CDM,78.0,78.0,70.0,71.0,74.0,76.0,79.0
Randall Azofeifa,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Johan Venegas,Minnesota United FC,Major League Soccer,CAM,67.0,69.0,35.0,57.0,60.0,65.0,65.0
Marco Ureña,LAFC,Major League Soccer,ST,66.0,74.0,60.0,61.0,67.0,53.0,72.0
Joel Campbell,Real Betis Balompié,LaLiga Santander,RM,77.0,62.0,63.0,73.0,77.0,70.0,70.0
