NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Hannes Þór Halldórsson,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Rúnar Alex Rúnarsson,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Frederik Schram,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Birkir Már Sævarsson,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Hörður Björgvin Magnússon,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Hólmar Örn Eyjólfsson,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Kári Árnason,Aberdeen,Scottish Premiership,CB,78.0,70.0,68.0,71.0,72.0,77.0,82.0
Ari Freyr Skúlason,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Ragnar Sigurðsson,FC Rostov,Sogaz Russian Football Championship,CB,72.0,79.0,66.0,69.0,76.0,24.0,60.0
Sverrir Ingi Ingason,FC Rostov,Sogaz Russian Football Championship,CB,71.0,82.0,60.0,68.0,74.0,22.0,36.0
Gylfi Sigurðsson,Everton,Premier League,CAM,84.0,70.0,75.0,86.0,81.0,63.0,75.0
Samúel Friðjónsson,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Jóhann Berg Guðmundsson,Burnley,Premier League,RM,76.0,85.0,78.0,55.0,73.0,43.0,75.0
Ólafur Ingi Skúlason,Kardemir Karabükspor,Süper Lig,CDM,70.0,48.0,58.0,68.0,64.0,61.0,66.0
Aron Gunnarsson,Cardiff City,EFL Championship,CM,70.0,38.0,64.0,72.0,68.0,63.0,65.0
Rúrik Gíslason,SV Sandhausen,Bundesliga 2,RM,68.0,59.0,34.0,35.0,46.0,68.0,72.0
Emil Hallfreðsson,Udinese,Calcio A,CM,75.0,71.0,63.0,72.0,76.0,73.0,72.0
Arnór Ingvi Traustason,Malmö FF,Allsvenskan,LM,70.0,89.0,63.0,60.0,76.0,37.0,50.0
Birkir Bjarnason,Aston Villa,EFL Championship,LM,73.0,93.0,51.0,64.0,73.0,66.0,76.0
Albert Guðmundsson,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Björn Bergmann Sigurðarson,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Alfreð Finnbogason,FC Augsburg,Bundesliga,ST,81.0,74.0,83.0,73.0,80.0,40.0,87.0
Jón Daði Böðvarsson,Reading,EFL Championship,ST,69.0,85.0,66.0,60.0,70.0,37.0,69.0
