NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Alireza Beiranvand,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Amir Abedzadeh,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Mohammad Rashid Mazaheri,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Rouzbeh Cheshmi,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Majid Hosseini,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Pejman Montazeri,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Ehsan Hajsafi,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Mohammad Reza Khanzadeh,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Milad Mohammadi,Terek Grozny,Sogaz Russian Football Championship,LB,73.0,70.0,70.0,52.0,65.0,25.0,76.0
Morteza Pouraliganji,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Ramin Rezaeian,KV Oostende,Belgium Pro League,RB,70.0,81.0,45.0,62.0,66.0,65.0,73.0
Omid Ebrahimi,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Vahid Amiri,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Mehdi Torabi,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Masoud Shojaei,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Saeid Ezatolahi,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Karim Ansarifard,Olympiacos CFP,Hellas Liga,ST,75.0,79.0,57.0,75.0,78.0,64.0,65.0
Saman Ghoddos,Östersunds FK,Allsvenskan,ST,70.0,66.0,62.0,65.0,71.0,49.0,60.0
Reza Ghoochannejhad,SC Heerenveen,Eredivisie,ST,72.0,82.0,44.0,66.0,70.0,69.0,73.0
Mehdi Taremi,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Alireza Jahanbakhsh,AZ,Eredivisie,RW,77.0,43.0,37.0,60.0,59.0,76.0,82.0
Sardar Azmoun,Rubin Kazan,Sogaz Russian Football Championship,ST,77.0,89.0,71.0,74.0,78.0,31.0,68.0
Ashkan Dejagah,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
