NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Yassine Bounou,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Ahmed Reda Tagnaouti,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Munir Mohamedi,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Manuel da Costa,Medipol Başakşehir FK,Süper Lig,CB,72.0,36.0,69.0,76.0,68.0,68.0,62.0
Medhi Benatia,Juventus,Calcio A,CB,87.0,95.0,82.0,84.0,88.0,51.0,72.0
Romain Saïss,Wolverhampton Wanderers,EFL Championship,CDM,76.0,77.0,61.0,64.0,75.0,74.0,71.0
Nabil Dirar,Fenerbahçe SK,Süper Lig,RB,81.0,81.0,78.0,80.0,82.0,37.0,76.0
Achraf Hakimi,Real Madrid CF,LaLiga Santander,RB,70.0,78.0,68.0,65.0,70.0,33.0,68.0
Hamza Mendyl,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Sofyan Amrabat,Feyenoord,Eredivisie,CM,75.0,85.0,74.0,60.0,77.0,28.0,63.0
Amine Harit,FC Schalke 04,Bundesliga,RW,77.0,74.0,70.0,77.0,84.0,28.0,43.0
Nordin Amrabat,CD Leganés,LaLiga Santander,RM,79.0,73.0,65.0,77.0,80.0,62.0,67.0
Youssef Aït Bennasser,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Mehdi Carcela,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Fayçal Fajr,Getafe CF,LaLiga Santander,LM,75.0,75.0,51.0,62.0,67.0,73.0,80.0
Younès Belhanda,Galatasaray SK,Süper Lig,CAM,84.0,76.0,80.0,84.0,81.0,79.0,84.0
Karim El Ahmadi,Feyenoord,Eredivisie,CM,80.0,75.0,74.0,75.0,81.0,60.0,77.0
Hakim Ziyech,Ajax,Eredivisie,CM,84.0,84.0,83.0,84.0,87.0,40.0,69.0
Mbark Boussoufa,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Ayoub El Kaabi,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Youssef En-Nesyri,Málaga CF,LaLiga Santander,ST,69.0,54.0,35.0,47.0,57.0,69.0,70.0
Aziz Bouhaddouz,FC St. Pauli Hamburg,Bundesliga 2,ST,73.0,73.0,70.0,69.0,73.0,35.0,55.0
Khalid Boutaïb,Evkur Yeni Malatyaspor,Süper Lig,ST,78.0,76.0,72.0,70.0,74.0,76.0,80.0
