NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Ikechukwu Ezenwa,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Daniel Akpeyi,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Francis Uzoho,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Shehu Abdullahi,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
William Troost-Ekong,Bursaspor,Süper Lig,CB,71.0,53.0,63.0,71.0,69.0,66.0,76.0
Leon Balogun,1. FSV Mainz 05,Bundesliga,CB,75.0,57.0,74.0,51.0,70.0,27.0,69.0
Tyronne Ebuehi,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Chidozie Awaziem,FC Nantes,Ligue 1,CB,71.0,64.0,70.0,51.0,67.0,29.0,78.0
Brian Idowu,Amkar Perm,Sogaz Russian Football Championship,LWB,70.0,49.0,26.0,41.0,35.0,70.0,83.0
Kenneth Omeruo,Kasimpaşa SK,Süper Lig,CB,72.0,75.0,61.0,67.0,75.0,69.0,68.0
Elderson Echiéjilé,Sivasspor,Süper Lig,LB,71.0,51.0,72.0,71.0,69.0,43.0,64.0
John Ogu,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Ogenyi Onazi,Trabzonspor,Süper Lig,CDM,74.0,84.0,71.0,66.0,77.0,26.0,66.0
Joel Obi,Torino,Calcio A,CM,73.0,85.0,66.0,65.0,77.0,23.0,55.0
Wilfred Ndidi,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
John Obi Mikel,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Oghenekaro Etebo,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Victor Moses,Chelsea,Premier League,RWB,82.0,69.0,36.0,65.0,62.0,85.0,78.0
Alex Iwobi,Arsenal,Premier League,LM,76.0,78.0,78.0,57.0,70.0,33.0,83.0
Odion Ighalo,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Ahmed Musa,Leicester City,Premier League,ST,81.0,71.0,54.0,64.0,62.0,83.0,80.0
Kelechi Iheanacho,Leicester City,Premier League,ST,75.0,50.0,68.0,76.0,72.0,68.0,70.0
Simeon Nwankwo,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
