NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Jaime Penedo,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Álex Rodríguez,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
José Calderón,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Fidel Escobar,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Luis Ovalle,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Erick Davis,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Harold Cummings,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Michael Amir Murillo,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Adolfo Machado,Houston Dynamo,Major League Soccer,CB,70.0,45.0,67.0,59.0,56.0,38.0,80.0
Román Torres,Seattle Sounders FC,Major League Soccer,CB,78.0,66.0,71.0,70.0,75.0,77.0,84.0
Felipe Baloy,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Armando Cooper,Toronto FC,Major League Soccer,CM,67.0,84.0,55.0,60.0,72.0,47.0,70.0
Édgar Bárcenas,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Valentín Pimentel,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Gabriel Gómez,Atlético Bucaramanga,Liga Dimayor,CDM,69.0,74.0,32.0,51.0,62.0,69.0,66.0
Ricardo Ávila,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Aníbal Godoy,San Jose Earthquakes,Major League Soccer,CDM,71.0,76.0,63.0,69.0,75.0,29.0,55.0
José Luis Rodríguez,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Ismael Díaz,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Blas Pérez,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Abdiel Arroyo,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Luis Tejada,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Gabriel Torres,CD Huachipato,Campeonato Scotiabank,ST,76.0,84.0,67.0,74.0,83.0,28.0,68.0
