NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Pedro Gallese,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
José Carvallo,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Carlos Cáceda,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Anderson Santamaría,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Miguel Araujo,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Miguel Trauco,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Alberto Rodríguez,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Luis Advíncula,Lobos B.U.A.P.,LIGA Bancomer MX,RB,72.0,52.0,33.0,59.0,53.0,74.0,70.0
Christian Ramos,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Nilson Loyola,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Aldo Corzo,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Yoshimar Yotún,Orlando City Soccer Club,Major League Soccer,CM,70.0,81.0,62.0,63.0,74.0,38.0,59.0
Wilder Cartagena,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Renato Tapia,Feyenoord,Eredivisie,CM,72.0,78.0,63.0,67.0,73.0,48.0,69.0
Christian Cueva,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Paolo Hurtado,Vitória Guimarães,Liga NOS,CAM,76.0,78.0,73.0,70.0,72.0,41.0,78.0
Andy Polo,Portland Timbers,LIGA Bancomer MX,RM,69.0,55.0,67.0,69.0,71.0,40.0,68.0
Pedro Aquino,Lobos B.U.A.P.,LIGA Bancomer MX,CDM,70.0,73.0,45.0,60.0,58.0,70.0,67.0
Raúl Ruidíaz,Monarcas Morelia,LIGA Bancomer MX,ST,76.0,61.0,75.0,64.0,70.0,33.0,75.0
Jefferson Farfán,Lokomotiv Moscow,Sogaz Russian Football Championship,ST,82.0,92.0,76.0,72.0,86.0,29.0,70.0
Paolo Guerrero,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
André Carrillo,Watford,Premier League,RM,77.0,80.0,61.0,72.0,85.0,27.0,56.0
Edison Flores,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
