NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Wojciech Szczęsny,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Łukasz Fabiański,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Bartosz Białkowski,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Thiago Cionek,Ferrara,Calcio A,CB,71.0,72.0,57.0,66.0,67.0,68.0,74.0
Jan Bednarek,Southampton,Premier League,CB,68.0,64.0,65.0,56.0,62.0,26.0,68.0
Łukasz Piszczek,Borussia Dortmund,Bundesliga,RB,83.0,68.0,41.0,58.0,66.0,85.0,76.0
Bartosz Bereszyński,Sampdoria,Calcio A,RB,73.0,79.0,62.0,66.0,76.0,46.0,50.0
Michał Pazdan,Legia Warszawa,T-Mobile Ekstraklasa,CB,76.0,76.0,70.0,56.0,73.0,22.0,78.0
Artur Jędrzejczyk,Legia Warszawa,T-Mobile Ekstraklasa,RB,73.0,71.0,61.0,70.0,72.0,67.0,81.0
Kamil Glik,AS Monaco Football Club SA,Ligue 1,CB,86.0,87.0,81.0,84.0,88.0,55.0,71.0
Rafał Kurzawa,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Piotr Zieliński,Napoli,Calcio A,CM,83.0,80.0,77.0,79.0,82.0,28.0,76.0
Sławomir Peszko,Lechia Gdańsk,T-Mobile Ekstraklasa,LM,69.0,76.0,63.0,56.0,64.0,22.0,76.0
Jakub Błaszczykowski,VfL Wolfsburg,Bundesliga,RM,76.0,76.0,45.0,65.0,71.0,73.0,72.0
Maciej Rybus,Lokomotiv Moscow,Sogaz Russian Football Championship,LB,72.0,59.0,69.0,63.0,70.0,34.0,62.0
Kamil Grosicki,Hull City,EFL Championship,LM,76.0,58.0,50.0,60.0,59.0,75.0,83.0
Grzegorz Krychowiak,West Bromwich Albion,Premier League,CDM,81.0,72.0,69.0,83.0,81.0,72.0,73.0
Karol Linetty,Sampdoria,Calcio A,CM,75.0,51.0,77.0,52.0,62.0,35.0,77.0
Jacek Góralski,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Robert Lewandowski,FC Bayern München,Bundesliga,ST,93.0,83.0,92.0,79.0,89.0,41.0,85.0
Arkadiusz Milik,Napoli,Calcio A,ST,79.0,70.0,42.0,55.0,52.0,79.0,85.0
Łukasz Teodorczyk,RSC Anderlecht,Belgium Pro League,ST,86.0,85.0,62.0,84.0,81.0,86.0,80.0
Dawid Kownacki,Sampdoria,Calcio A,ST,68.0,43.0,54.0,64.0,62.0,68.0,71.0
