NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Igor Akinfeev,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Vladimir Gabulov,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Andrey Lunyov,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Sergei Ignashevich,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Mário Fernandes,CSKA Moscow,Sogaz Russian Football Championship,RWB,81.0,87.0,78.0,72.0,80.0,35.0,74.0
Vladimir Granat,Rubin Kazan,Sogaz Russian Football Championship,CB,72.0,75.0,53.0,65.0,65.0,68.0,82.0
Ilya Kutepov,Spartak Moscow,Sogaz Russian Football Championship,CB,73.0,79.0,72.0,56.0,74.0,42.0,62.0
Fyodor Kudryashov,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Andrei Semyonov,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Igor Smolnikov,Zenit St. Petersburg,Sogaz Russian Football Championship,RB,80.0,78.0,66.0,80.0,81.0,68.0,68.0
Alan Dzagoev,CSKA Moscow,Sogaz Russian Football Championship,CM,80.0,72.0,62.0,67.0,61.0,80.0,83.0
Roman Zobnin,Spartak Moscow,Sogaz Russian Football Championship,CDM,77.0,88.0,72.0,74.0,75.0,54.0,72.0
Daler Kuzyayev,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Denis Cheryshev,Villarreal CF,LaLiga Santander,LM,79.0,83.0,80.0,73.0,82.0,35.0,67.0
Aleksei Miranchuk,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Anton Miranchuk,Lokomotiv Moscow,Sogaz Russian Football Championship,CAM,68.0,63.0,31.0,44.0,55.0,67.0,72.0
Aleksandr Golovin,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Yuri Zhirkov,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Aleksandr Samedov,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Aleksandr Yerokhin,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Yury Gazinsky,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Fyodor Smolov,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Artem Dzyuba,FC Arsenal Tula,Sogaz Russian Football Championship,ST,79.0,33.0,50.0,55.0,52.0,80.0,77.0
