NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Abdoulaye Diallo,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Khadim N'Diaye,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Alfred Gomis,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Kara Mbodji,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Lamine Gassama,Alanyaspor,Süper Lig,RB,68.0,46.0,68.0,63.0,66.0,25.0,74.0
Saliou Ciss,Valenciennes FC,Domino’s Ligue 2,LB,69.0,80.0,67.0,58.0,65.0,22.0,71.0
Kalidou Koulibaly,Napoli,Calcio A,CB,86.0,82.0,83.0,85.0,87.0,59.0,86.0
Moussa Wagué,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Youssouf Sabaly,FC Girondins de Bordeaux,Ligue 1,RB,76.0,79.0,65.0,69.0,82.0,28.0,66.0
Cheikh N'Doye,Birmingham City,EFL Championship,CM,78.0,67.0,79.0,56.0,69.0,40.0,76.0
Cheikhou Kouyaté,West Ham United,Premier League,CB,81.0,87.0,81.0,64.0,77.0,43.0,82.0
Salif Sané,Hannover 96,Bundesliga,CB,79.0,92.0,65.0,75.0,79.0,73.0,71.0
Badou Ndiaye,Stoke City,Premier League,CM,77.0,71.0,54.0,70.0,73.0,74.0,82.0
Idrissa Gueye,Everton,Premier League,CDM,83.0,70.0,45.0,51.0,54.0,85.0,81.0
Alfred N'Diaye,Wolverhampton Wanderers,EFL Championship,CDM,78.0,86.0,73.0,73.0,81.0,40.0,61.0
Sadio Mané,Liverpool,Premier League,LW,87.0,73.0,77.0,72.0,68.0,89.0,81.0
Moussa Sow,Bursaspor,Süper Lig,ST,78.0,59.0,35.0,48.0,55.0,79.0,84.0
Moussa Konaté,Amiens SC,Ligue 1,ST,74.0,59.0,35.0,54.0,47.0,74.0,77.0
Diafra Sakho,Stade Rennais FC,Ligue 1,ST,75.0,87.0,72.0,70.0,77.0,32.0,59.0
Ismaïla Sarr,Stade Rennais FC,Ligue 1,LM,73.0,78.0,66.0,72.0,74.0,35.0,50.0
M'Baye Niang,Torino,Calcio A,LW,78.0,67.0,33.0,45.0,58.0,80.0,76.0
Keita Baldé,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Mame Biram Diouf,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
