NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Vladimir Stojković,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Predrag Rajković,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Marko Dmitrović,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Nikola Milenković,Fiorentina,Calcio A,CB,70.0,34.0,43.0,67.0,43.0,71.0,74.0
Milan Rodić,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Antonio Rukavina,Villarreal CF,LaLiga Santander,RB,77.0,77.0,42.0,64.0,69.0,77.0,76.0
Aleksandar Kolarov,Roma,Calcio A,LB,82.0,53.0,57.0,66.0,68.0,81.0,85.0
Duško Tošić,Beşiktaş JK,Süper Lig,CB,76.0,72.0,78.0,73.0,76.0,21.0,62.0
Branislav Ivanović,Zenit St. Petersburg,Sogaz Russian Football Championship,RB,84.0,81.0,62.0,79.0,78.0,86.0,83.0
Uroš Spajić,RSC Anderlecht,Belgium Pro League,CB,73.0,45.0,72.0,74.0,70.0,67.0,76.0
Miloš Veljković,SV Werder Bremen,Bundesliga,CB,73.0,66.0,63.0,73.0,75.0,54.0,61.0
Dušan Tadić,Southampton,Premier League,CAM,80.0,67.0,76.0,83.0,81.0,40.0,62.0
Andrija Živković,SL Benfica,Liga NOS,RM,77.0,90.0,77.0,60.0,75.0,29.0,70.0
Adem Ljajić,Torino,Calcio A,CM,82.0,71.0,76.0,81.0,78.0,83.0,82.0
Luka Milivojević,Crystal Palace,Premier League,CDM,81.0,83.0,82.0,83.0,85.0,42.0,63.0
Marko Grujić,Cardiff City,EFL Championship,CM,71.0,70.0,39.0,41.0,54.0,71.0,74.0
Filip Kostić,Hamburger SV,Bundesliga,CF,84.0,78.0,78.0,82.0,85.0,79.0,78.0
Sergej Milinković-Savić,Lazio,Calcio A,CM,87.0,83.0,88.0,86.0,91.0,52.0,83.0
Nemanja Matić,Manchester United,Premier League,CDM,86.0,80.0,83.0,85.0,89.0,38.0,70.0
Aleksandar Mitrović,Fulham,EFL Championship,ST,81.0,92.0,78.0,74.0,82.0,39.0,74.0
Nemanja Radonjić,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Luka Jović,Eintracht Frankfurt,Bundesliga,ST,70.0,71.0,69.0,55.0,67.0,28.0,64.0
Aleksandar Prijović,PAOK,Hellas Liga,ST,74.0,73.0,72.0,70.0,76.0,51.0,70.0
