NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Kim Seung-gyu,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Kim Jin-hyeon,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Cho Hyun-woo,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Oh Ban-suk,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Lee Yong,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Jang Hyun-soo,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Kim Young-gwon,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Hong Chul,Sangju Sangmu FC,K LEAGUE Classic,LB,74.0,84.0,69.0,71.0,78.0,39.0,71.0
Jung Seung-hyun,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Go Yo-han,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Kim Min-woo,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Park Joo-ho,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Yun Young-sun,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Lee Seung-woo,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Ju Se-jong,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Jung Woo-young,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Ki Sung-yueng,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Lee Jae-sung,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Moon Seon-min,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Koo Ja-cheol,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Kim Shin-wook,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Son Heung-min,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Hwang Hee-chan,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
