NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
David de Gea,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Kepa Arrizabalaga,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Pepe Reina,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Nacho,Real Valladolid,LaLiga 1 I 2 I 3,LB,70.0,71.0,71.0,58.0,68.0,34.0,71.0
Jordi Alba,FC Barcelona,LaLiga Santander,LW,88.0,86.0,91.0,74.0,86.0,46.0,83.0
Nacho Monreal,Arsenal,Premier League,LB,83.0,86.0,66.0,83.0,81.0,81.0,78.0
Sergio Ramos,Real Madrid CF,LaLiga Santander,CB,97.0,86.0,79.0,88.0,89.0,98.0,96.0
César Azpilicueta,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Gerard Piqué,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Dani Carvajal,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Álvaro Odriozola,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Isco,Real Madrid CF,LaLiga Santander,CM,87.0,40.0,62.0,79.0,78.0,82.0,81.0
Koke,Atlético Madrid,LaLiga Santander,CM,87.0,67.0,88.0,76.0,80.0,36.0,77.0
Saúl,Atlético Madrid,LaLiga Santander,CM,84.0,88.0,85.0,78.0,85.0,30.0,69.0
Andrés Iniesta,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Sergio Busquets,FC Barcelona,LaLiga Santander,CDM,87.0,79.0,86.0,81.0,84.0,23.0,76.0
Marco Asensio,Real Madrid CF,LaLiga Santander,LM,86.0,75.0,83.0,65.0,76.0,40.0,88.0
Thiago,FC Bayern München,Bundesliga,CM,91.0,68.0,60.0,80.0,75.0,93.0,82.0
Lucas Vázquez,Real Madrid CF,LaLiga Santander,RW,82.0,63.0,63.0,71.0,64.0,81.0,85.0
Rodrigo,Valencia CF,LaLiga Santander,ST,83.0,81.0,84.0,72.0,80.0,26.0,77.0
Iago Aspas,RC Celta de Vigo,LaLiga Santander,ST,87.0,72.0,52.0,61.0,69.0,90.0,79.0
Diego Costa,Atlético Madrid,LaLiga Santander,ST,86.0,85.0,82.0,84.0,91.0,40.0,63.0
David Silva,Manchester City,Premier League,CM,92.0,83.0,91.0,81.0,87.0,48.0,86.0
