NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Robin Olsen,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Karl-Johan Johnsson,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Kristoffer Nordfeldt,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Pontus Jansson,Leeds United,EFL Championship,CB,76.0,83.0,73.0,60.0,74.0,37.0,80.0
Emil Krafth,Bologna,Calcio A,RB,73.0,42.0,45.0,59.0,55.0,73.0,78.0
Filip Helander,Bologna,Calcio A,CB,73.0,80.0,68.0,65.0,70.0,46.0,81.0
Mikael Lustig,Celtic,Scottish Premiership,RB,73.0,70.0,73.0,46.0,65.0,27.0,74.0
Victor Lindelöf,Manchester United,Premier League,CB,79.0,85.0,76.0,59.0,76.0,43.0,85.0
Ludwig Augustinsson,SV Werder Bremen,Bundesliga,LB,73.0,76.0,62.0,71.0,75.0,56.0,60.0
Martin Olsson,Swansea City,Premier League,LB,75.0,84.0,59.0,71.0,73.0,68.0,66.0
Andreas Granqvist,FC Krasnodar,Sogaz Russian Football Championship,CB,85.0,82.0,84.0,82.0,90.0,33.0,80.0
Emil Forsberg,RB Leipzig,Bundesliga,LM,83.0,51.0,67.0,65.0,58.0,85.0,81.0
Sebastian Larsson,Hull City,EFL Championship,CM,75.0,84.0,63.0,69.0,72.0,72.0,70.0
Oscar Hiljemark,Genoa,Calcio A,CM,73.0,68.0,72.0,58.0,69.0,39.0,75.0
Viktor Claesson,FC Krasnodar,Sogaz Russian Football Championship,CAM,73.0,89.0,70.0,66.0,79.0,31.0,45.0
Marcus Rohdén,Crotone,Calcio A,RM,71.0,80.0,67.0,58.0,70.0,22.0,62.0
Jimmy Durmaz,Toulouse Football Club,Ligue 1,CAM,75.0,80.0,71.0,74.0,78.0,44.0,54.0
Albin Ekdal,Hamburger SV,Bundesliga,CM,76.0,86.0,72.0,67.0,81.0,36.0,64.0
Gustav Svensson,Seattle Sounders FC,Major League Soccer,CB,72.0,85.0,62.0,65.0,72.0,62.0,78.0
Marcus Berg,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
John Guidetti,Deportivo Alavés,LaLiga Santander,ST,78.0,71.0,72.0,75.0,78.0,69.0,68.0
Isaac Kiese Thelin,Waasland-Beveren,Belgium Pro League,ST,78.0,82.0,81.0,65.0,67.0,31.0,76.0
Ola Toivonen,Toulouse Football Club,Ligue 1,CAM,75.0,29.0,33.0,44.0,39.0,76.0,74.0
