NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Fernando Muslera,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Martín Campaña,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Martín Silva,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Sebastián Coates,Sporting CP,Liga NOS,CB,81.0,70.0,73.0,79.0,80.0,68.0,69.0
Maxi Pereira,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
José Giménez,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Martín Cáceres,Lazio,Calcio A,RB,77.0,66.0,56.0,66.0,62.0,75.0,79.0
Diego Godín,Atlético Madrid,LaLiga Santander,CB,88.0,84.0,86.0,86.0,88.0,60.0,87.0
Guillermo Varela,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Gastón Silva,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Cristian Rodríguez,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Rodrigo Bentancur,Juventus,Calcio A,CM,69.0,33.0,36.0,45.0,40.0,68.0,75.0
Lucas Torreira,Sampdoria,Calcio A,CM,81.0,72.0,83.0,72.0,73.0,39.0,82.0
Matías Vecino,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Carlos Sánchez,RCD Espanyol,LaLiga Santander,CDM,77.0,66.0,69.0,78.0,76.0,73.0,72.0
Diego Laxalt,Genoa,Calcio A,LM,78.0,81.0,58.0,72.0,74.0,73.0,78.0
Nahitan Nández,Boca Juniors,Primera División,CDM,70.0,82.0,65.0,61.0,70.0,20.0,58.0
Luis Suárez,FC Barcelona,LaLiga Santander,ST,95.0,85.0,95.0,86.0,91.0,48.0,85.0
Giorgian De Arrascaeta,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Cristhian Stuani,Girona FC,LaLiga Santander,ST,78.0,82.0,82.0,74.0,82.0,30.0,66.0
Maxi Gómez,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Jonathan Urretaviscaya,Monterrey,LIGA Bancomer MX,RW,74.0,64.0,66.0,68.0,69.0,66.0,75.0
Edinson Cavani,Paris Saint-Germain,Ligue 1,ST,92.0,91.0,86.0,87.0,94.0,33.0,70.0
