NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Petr Čech,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Jan Laštůvka,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Jaroslav Drobný,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Marek Suchý,Spartak Moskva,Russian League,CB,72.0,89.0,69.0,58.0,76.0,53.0,64.0
Theodor Gebre Selassie,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Michal Kadlec,Bayer 04 Leverkusen,Bundesliga,LB,77.0,77.0,59.0,65.0,75.0,80.0,66.0
David Limberský,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
František Rajtoral,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Tomáš Sivok,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Roman Hubník,Hertha BSC,Bundesliga,CB,74.0,70.0,69.0,70.0,65.0,80.0,83.0
Jan Rezek,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Tomáš Rosický,Arsenal,Barclays PL,CAM,85.0,83.0,87.0,79.0,84.0,67.0,77.0
Milan Petržela,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Vladimír Darida,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Tomáš Hübschman,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Daniel Kolář,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Petr Jiráček,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Jaroslav Plašil,Girondins Bordeaux,Ligue 1,CM,81.0,87.0,77.0,78.0,80.0,60.0,65.0
Václav Pilař,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Milan Baroš,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Tomáš Pekhart,1. FC Nürnberg,Bundesliga,ST,72.0,60.0,36.0,53.0,52.0,74.0,73.0
David Lafata,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
