NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Stephan Andersen,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Anders Lindegaard,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Kasper Schmeichel,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Daniel Wass,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Jores Okore,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Andreas Bjelland,FC Nordsjælland,Superliga,CB,73.0,63.0,70.0,73.0,74.0,54.0,57.0
Simon Poulsen,AZ,Eredivisie,LB,68.0,54.0,49.0,61.0,47.0,71.0,68.0
Daniel Agger,Liverpool,Barclays PL,CB,86.0,69.0,59.0,76.0,70.0,90.0,86.0
Simon Kjær,Roma,Serie A,CB,79.0,76.0,69.0,73.0,82.0,60.0,62.0
Lars Jacobsen,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
William Kvist,VfB Stuttgart,Bundesliga,CM,78.0,82.0,74.0,80.0,78.0,50.0,54.0
Niki Zimling,Club Brugge,Belgium Pro League,CDM,72.0,85.0,59.0,68.0,73.0,64.0,44.0
Thomas Kahlenberg,Évian Thonon Gaillard FC,Ligue 1,LM,72.0,80.0,70.0,70.0,75.0,54.0,67.0
Jakob Poulsen,FC Midtjylland,Superliga,CM,70.0,84.0,64.0,50.0,78.0,42.0,60.0
Christian Poulsen,Ajax,Eredivisie,CDM,75.0,67.0,73.0,71.0,79.0,51.0,64.0
Michael Silberbauer,BSC Young Boys,Axpo Super League,CM,72.0,79.0,60.0,72.0,71.0,70.0,66.0
Christian Eriksen,Ajax,Eredivisie,CAM,83.0,84.0,86.0,70.0,87.0,51.0,64.0
Lasse Schøne,NEC,Eredivisie,CAM,79.0,55.0,60.0,65.0,54.0,89.0,72.0
Nicklas Pedersen,FC Groningen,Eredivisie,ST,67.0,55.0,65.0,67.0,60.0,71.0,71.0
Nicklas Bendtner,Arsenal,Barclays PL,ST,79.0,70.0,72.0,78.0,73.0,76.0,74.0
Dennis Rommedahl,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Michael Krohn-Dehli,Brøndby IF,Superliga,LW,80.0,65.0,53.0,65.0,53.0,83.0,84.0
