NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Kostas Chalkias,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Michalis Sifakis,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Alexandros Tzorvas,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Stelios Malezas,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Kyriakos Papadopoulos,FC Schalke 04,Bundesliga,CB,82.0,78.0,57.0,74.0,76.0,83.0,86.0
José Holebas,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Avraam Papadopoulos,Olympiacos CFP,Hellas Liga,CB,76.0,74.0,78.0,77.0,74.0,73.0,67.0
Sokratis Papastathopoulos,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Vasilis Torosidis,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Georgios Tzavelas,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Kostas Katsouranis,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Sotiris Ninis,Parma,Serie A,CAM,75.0,73.0,52.0,73.0,68.0,73.0,71.0
Georgios Fotakis,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Giannis Maniatis,Olympiacos CFP,Hellas Liga,RB,71.0,76.0,70.0,62.0,73.0,46.0,71.0
Kostas Fortounis,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Giorgos Karagounis,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Grigoris Makos,AEK Athens,Hellas Liga,CDM,70.0,58.0,68.0,50.0,65.0,56.0,82.0
Giannis Fetfatzidis,Olympiacos CFP,Hellas Liga,CAM,72.0,71.0,70.0,72.0,74.0,63.0,57.0
Konstantinos Mitroglou,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Theofanis Gekas,Levante UD,La Liga BBVA,ST,77.0,66.0,38.0,70.0,58.0,80.0,83.0
Nikos Liberopoulos,AEK Athens,Hellas Liga,ST,74.0,75.0,68.0,72.0,73.0,61.0,61.0
Georgios Samaras,Celtic,SPL,ST,74.0,74.0,70.0,77.0,69.0,71.0,75.0
