NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Maarten Stekelenburg,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Tim Krul,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Michel Vorm,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Joris Mathijsen,Feyenoord,Eredivisie,CB,78.0,82.0,70.0,75.0,85.0,41.0,46.0
Khalid Boulahrouz,Sporting CP,Liga Portuguesa,RB,74.0,87.0,64.0,78.0,81.0,47.0,50.0
Jetro Willems,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
John Heitinga,Everton,Barclays PL,CB,83.0,90.0,74.0,80.0,84.0,70.0,80.0
Gregory van der Wiel,Ajax,Eredivisie,RB,81.0,65.0,43.0,65.0,29.0,85.0,82.0
Ron Vlaar,Feyenoord,Eredivisie,CB,80.0,83.0,83.0,80.0,80.0,52.0,78.0
Wilfred Bouma,PSV,Eredivisie,CB,74.0,40.0,75.0,70.0,65.0,71.0,70.0
Wesley Sneijder,Inter,Serie A,CAM,88.0,79.0,89.0,78.0,87.0,65.0,82.0
Nigel de Jong,Manchester City,Barclays PL,CDM,82.0,63.0,59.0,80.0,79.0,80.0,57.0
Stijn Schaars,Sporting CP,Liga Portuguesa,CM,76.0,52.0,48.0,60.0,39.0,80.0,79.0
Mark van Bommel,PSV,Eredivisie,CDM,82.0,84.0,82.0,82.0,84.0,60.0,60.0
Kevin Strootman,PSV,Eredivisie,CM,80.0,89.0,77.0,69.0,87.0,50.0,61.0
Ibrahim Afellay,FC Barcelona,La Liga BBVA,LW,84.0,80.0,88.0,71.0,76.0,54.0,87.0
Rafael van der Vaart,Tottenham Hotspur,Barclays PL,CAM,89.0,66.0,86.0,88.0,86.0,83.0,68.0
Arjen Robben,Bayern München,Bundesliga,RM,91.0,95.0,88.0,84.0,95.0,53.0,60.0
Dirk Kuyt,Liverpool,Barclays PL,RW,79.0,56.0,54.0,57.0,50.0,80.0,73.0
Robin van Persie,Arsenal,Barclays PL,ST,94.0,86.0,96.0,86.0,91.0,57.0,77.0
Luuk de Jong,FC Twente,Eredivisie,ST,85.0,70.0,56.0,75.0,70.0,93.0,89.0
Luciano Narsingh,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
