NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Eduardo,Racing Club de Lens,Ligue 2,ST,69,86,62,46,71,45,61
Beto,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Rui Patrício,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Ricardo Costa,Valencia CF,La Liga BBVA,CB,81,61,56,78,65,84,60
Fábio Coentrão,Real Madrid,La Liga BBVA,LB,84,91,66,83,83,85,79
João Pereira,Sporting CP,Liga Portuguesa,RB,81,81,76,65,78,51,79
Miguel Lopes,FC Porto,Liga Portuguesa,RB,74,67,57,72,67,73,69
Rolando,FC Porto,Liga Portuguesa,CB,83,88,80,80,84,48,53
Bruno Alves,Zenit St. Petersburg,Russian League,CB,82,94,77,54,85,56,76
Pepe,Real Madrid,La Liga BBVA,CB,88,85,65,82,82,92,95
Hugo Viana,SC Braga,Liga Portuguesa,CM,79,67,59,76,71,75,59
Raul Meireles,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Rúben Micael,SC Braga,Liga Portuguesa,CM,77,73,78,76,80,58,69
Miguel Veloso,Genoa,Serie A,CDM,79,83,74,74,82,53,76
João Moutinho,FC Porto,Liga Portuguesa,CM,85,91,71,81,85,82,67
Custódio,SC Braga,Liga Portuguesa,CDM,78,73,70,78,72,78,79
Ricardo Quaresma,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Hugo Almeida,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Nani,Manchester United,Barclays PL,LW,87,84,89,88,89,52,67
Silvestre Varela,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Cristiano Ronaldo,Real Madrid,La Liga BBVA,LW,97,97,97,90,98,60,95
Nélson Oliveira,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
