NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Andreas Isaksson,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Johan Wiland,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Pär Hansson,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Behrang Safari,Anderlecht,Belgium Pro League,LB,70.0,55.0,49.0,59.0,52.0,72.0,72.0
Mikael Antonsson,Bologna,Serie A,CB,73.0,86.0,61.0,70.0,71.0,55.0,57.0
Mikael Lustig,Rosenborg BK,Tippeligaen,RB,71.0,54.0,69.0,49.0,58.0,64.0,76.0
Olof Mellberg,Olympiacos CFP,Hellas Liga,CB,83.0,80.0,83.0,84.0,85.0,70.0,72.0
Martin Olsson,Blackburn Rovers,Barclays PL,LB,74.0,67.0,69.0,81.0,73.0,60.0,49.0
Andreas Granqvist,Genoa,Serie A,CB,76.0,68.0,77.0,75.0,79.0,57.0,66.0
Jonas Olsson,West Bromwich Albion,Barclays PL,CB,79.0,69.0,45.0,68.0,60.0,78.0,81.0
Anders Svensson,IF Elfsborg,Allsvenskan,CM,75.0,75.0,72.0,72.0,77.0,51.0,48.0
Kim Källström,Spartak Moskva,Russian League,CM,80.0,80.0,74.0,70.0,78.0,56.0,83.0
Rasmus Elm,AZ,Eredivisie,CM,83.0,64.0,77.0,70.0,64.0,63.0,90.0
Pontus Wernbloom,AZ,Eredivisie,CM,74.0,68.0,35.0,50.0,44.0,78.0,78.0
Samuel Holmén,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Emir Bajrami,FC Twente,Eredivisie,LW,71.0,75.0,60.0,71.0,67.0,67.0,64.0
Christian Wilhelmsson,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Sebastian Larsson,Sunderland,Barclays PL,RM,80.0,89.0,83.0,75.0,83.0,56.0,70.0
Zlatan Ibrahimović,Milan,Serie A,ST,94.0,85.0,96.0,90.0,93.0,65.0,90.0
Johan Elmander,,,,68.8,69.07,57.37,60.61,62.94,61.06,64.76
Markus Rosenberg,West Bromwich Albion,Barclays PL,ST,73.0,83.0,40.0,70.0,70.0,75.0,69.0
Tobias Hysén,IFK Göteborg,Allsvenskan,ST,73.0,64.0,43.0,57.0,55.0,79.0,72.0
