NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Etrit Berisha,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Orges Shehi,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Alban Hoxha,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Elseid Hysaj,Napoli,Serie A,RB,77.0,67.0,60.0,64.0,67.0,77.0,83.0
Lorik Cana,FC Nantes,Ligue 1,CB,78.0,70.0,54.0,65.0,64.0,82.0,76.0
Freddie Veseli,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Ansi Agolli,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Arlind Ajeti,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Naser Aliji,1. FC K'lautern,2. Bundesliga,LB,68.0,75.0,54.0,64.0,66.0,65.0,63.0
Mërgim Mavraj,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Andi Lila,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Odise Roshi,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Ergys Kaçe,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Ermir Lenjani,Stade Rennais,Ligue 1,LB,69.0,69.0,54.0,60.0,65.0,69.0,70.0
Amir Abrashi,SC Freiburg,2. Bundesliga,CDM,69.0,78.0,65.0,66.0,74.0,27.0,65.0
Ledian Memushaj,Pescara,Serie B,CM,72.0,69.0,41.0,66.0,67.0,72.0,67.0
Migjen Basha,Bari,Serie B,CM,72.0,68.0,65.0,74.0,72.0,70.0,62.0
Taulant Xhaka,FC Basel,Raiffeisen SL,RB,70.0,72.0,66.0,69.0,73.0,63.0,68.0
Burim Kukeli,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Sokol Cikalleshi,Başakşehir,Süper Lig,CAM,67.0,63.0,62.0,66.0,74.0,44.0,57.0
Shkëlzen Gashi,Colorado Rapids,MLS,LM,74.0,69.0,50.0,61.0,53.0,75.0,80.0
Armando Sadiku,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
