NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Robert Almer,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Heinz Lindner,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Ramazan Özcan,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Florian Klein,VfB Stuttgart,Bundesliga,RB,74.0,91.0,67.0,64.0,80.0,32.0,50.0
Kevin Wimmer,Spurs,Barclays PL,CB,77.0,65.0,60.0,67.0,71.0,76.0,77.0
Sebastian Prödl,Watford,Barclays PL,CB,76.0,82.0,59.0,68.0,67.0,75.0,67.0
Aleksandar Dragović,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Christian Fuchs,Leicester City,Barclays PL,LB,74.0,74.0,75.0,60.0,70.0,30.0,71.0
Martin Hinteregger,Bor. M'gladbach,Bundesliga,CB,75.0,85.0,66.0,71.0,83.0,51.0,47.0
Markus Suttner,FC Ingolstadt,Bundesliga,LB,69.0,70.0,38.0,56.0,64.0,71.0,71.0
David Alaba,FC Bayern,Bundesliga,CB,87.0,89.0,90.0,85.0,90.0,32.0,74.0
Zlatko Junuzović,Werder Bremen,Bundesliga,CAM,80.0,75.0,65.0,75.0,78.0,81.0,80.0
Martin Harnik,Hannover 96,Bundesliga,RM,77.0,73.0,69.0,72.0,72.0,73.0,87.0
Jakob Jantscher,FC Luzern,Raiffeisen SL,LM,70.0,61.0,71.0,59.0,65.0,36.0,70.0
György Garics,Darmstadt,Bundesliga,RB,72.0,81.0,67.0,67.0,78.0,25.0,69.0
Julian Baumgartlinger,1. FSV Mainz 05,Bundesliga,CDM,83.0,87.0,86.0,86.0,89.0,40.0,73.0
Stefan Ilsanker,RB Leipzig,2. Bundesliga,CDM,69.0,91.0,64.0,64.0,70.0,22.0,45.0
Alessandro Schöpf,FC Schalke 04,Bundesliga,RM,69.0,83.0,62.0,67.0,71.0,38.0,51.0
Marcel Sabitzer,RB Leipzig,2. Bundesliga,ST,72.0,67.0,57.0,68.0,62.0,69.0,75.0
Rubin Okotie,1860 Munich,2. Bundesliga,ST,74.0,77.0,60.0,72.0,73.0,71.0,73.0
Lukas Hinterseer,FC Ingolstadt,Bundesliga,ST,70.0,78.0,42.0,60.0,64.0,70.0,76.0
Marc Janko,FC Basel,Raiffeisen SL,ST,77.0,51.0,39.0,51.0,41.0,80.0,78.0
