NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Thibaut Courtois,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Jean-François Gillet,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Simon Mignolet,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Toby Alderweireld,Spurs,Barclays PL,CB,88.0,66.0,61.0,80.0,75.0,91.0,82.0
Jordan Lukaku,Lazio,Serie A,LB,70.0,75.0,69.0,60.0,70.0,34.0,62.0
Christian Kabasele,KRC Genk,Pro League,CB,74.0,69.0,70.0,70.0,65.0,75.0,76.0
Thomas Meunier,PSG,Ligue 1,RB,76.0,43.0,33.0,52.0,42.0,80.0,78.0
Jason Denayer,Manchester City,Barclays PL,CB,71.0,81.0,48.0,56.0,70.0,71.0,64.0
Thomas Vermaelen,Roma,Serie A,CB,80.0,87.0,72.0,79.0,85.0,38.0,76.0
Laurent Ciman,Montreal Impact,MLS,CB,83.0,79.0,81.0,81.0,83.0,49.0,73.0
Jan Vertonghen,Spurs,Barclays PL,LB,82.0,81.0,84.0,81.0,89.0,41.0,76.0
Marouane Fellaini,Manchester United,Barclays PL,CM,78.0,55.0,32.0,51.0,53.0,81.0,74.0
Axel Witsel,Zenit,Russian League,CM,81.0,67.0,46.0,58.0,55.0,83.0,81.0
Mousa Dembélé,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Radja Nainggolan,Roma,Serie A,CM,89.0,87.0,51.0,87.0,88.0,92.0,90.0
Yannick Ferreira Carrasco,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Michy Batshuayi,Chelsea,Barclays PL,ST,79.0,71.0,54.0,72.0,77.0,76.0,79.0
Romelu Lukaku,Everton,Barclays PL,ST,89.0,80.0,85.0,88.0,90.0,78.0,91.0
Dries Mertens,Napoli,Serie A,LW,83.0,85.0,83.0,83.0,82.0,43.0,78.0
Kevin De Bruyne,Manchester City,Barclays PL,CM,95.0,86.0,96.0,99.0,97.0,56.0,93.0
Divock Origi,Liverpool,Barclays PL,ST,76.0,77.0,75.0,56.0,72.0,35.0,77.0
Christian Benteke,Crystal Palace,Barclays PL,ST,82.0,72.0,33.0,47.0,57.0,85.0,80.0
