NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Ivan Vargić,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Lovre Kalinić,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Danijel Subašić,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Domagoj Vida,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Šime Vrsaljko,Atlético Madrid,Liga BBVA,RB,75.0,72.0,56.0,68.0,74.0,72.0,72.0
Darijo Srna,FC Shakhtar,Ukrayina Liha,RB,88.0,83.0,58.0,84.0,86.0,88.0,80.0
Ivan Strinić,Napoli,Serie A,LB,73.0,72.0,54.0,69.0,69.0,72.0,72.0
Tin Jedvaj,Bayer 04,Bundesliga,CB,75.0,75.0,32.0,61.0,55.0,77.0,74.0
Vedran Ćorluka,Lokomotiv,Russian League,CB,80.0,75.0,65.0,73.0,74.0,80.0,78.0
Gordon Schildenfeld,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Mateo Kovačić,Real Madrid,Liga BBVA,CM,78.0,75.0,75.0,77.0,80.0,42.0,67.0
Luka Modrić,Real Madrid,Liga BBVA,CM,93.0,84.0,87.0,90.0,93.0,80.0,94.0
Marcelo Brozović,Inter,Serie A,CM,80.0,58.0,78.0,82.0,75.0,71.0,72.0
Marko Rog,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Ante Ćorić,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Milan Badelj,Fiorentina,Serie A,CDM,77.0,66.0,75.0,78.0,74.0,62.0,77.0
Ivan Perišić,Inter,Serie A,LM,86.0,77.0,60.0,62.0,60.0,90.0,87.0
Ivan Rakitić,FC Barcelona,Liga BBVA,CM,87.0,88.0,77.0,80.0,83.0,85.0,86.0
Andrej Kramarić,1899 Hoffenheim,Bundesliga,ST,73.0,82.0,69.0,67.0,76.0,44.0,64.0
Duje Čop,Sporting Gijón,Liga BBVA,ST,70.0,77.0,68.0,53.0,70.0,44.0,73.0
Nikola Kalinić,Fiorentina,Serie A,ST,78.0,50.0,65.0,78.0,71.0,72.0,82.0
Mario Mandžukić,Juventus,Serie A,ST,86.0,73.0,86.0,89.0,88.0,80.0,84.0
