NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Petr Čech,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Tomáš Vaclík,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Tomáš Koubek,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Theodor Gebre Selassie,Werder Bremen,Bundesliga,RB,76.0,77.0,74.0,67.0,78.0,50.0,79.0
Roman Hubník,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Tomáš Sivok,Bursaspor,Süper Lig,CB,75.0,38.0,59.0,78.0,70.0,64.0,62.0
David Limberský,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Marek Suchý,FC Basel,Raiffeisen SL,CB,84.0,71.0,75.0,84.0,87.0,27.0,55.0
Pavel Kadeřábek,1899 Hoffenheim,Bundesliga,RB,73.0,77.0,74.0,70.0,76.0,28.0,55.0
Michal Kadlec,Fenerbahçe SK,Süper Lig,LB,75.0,71.0,75.0,58.0,70.0,27.0,76.0
Jiří Skalák,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Ladislav Krejčí,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Josef Šural,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
David Pavelka,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Jaroslav Plašil,Bordeaux,Ligue 1,CM,75.0,77.0,53.0,70.0,71.0,72.0,70.0
Vladimír Darida,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Daniel Pudil,Sheffield Wed,FL Championship,LB,67.0,73.0,66.0,50.0,64.0,26.0,73.0
Tomáš Rosický,Arsenal,Barclays PL,CAM,80.0,82.0,80.0,59.0,79.0,27.0,72.0
Bořek Dočkal,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Daniel Kolář,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Tomáš Necid,Bursaspor,Süper Lig,ST,74.0,64.0,44.0,58.0,57.0,75.0,75.0
David Lafata,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
