NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Joe Hart,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Fraser Forster,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Tom Heaton,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Kyle Walker,Spurs,Barclays PL,RB,80.0,81.0,45.0,66.0,65.0,81.0,81.0
Ryan Bertrand,Southampton,Barclays PL,LB,78.0,65.0,60.0,67.0,71.0,76.0,77.0
John Stones,Manchester City,Barclays PL,CB,77.0,80.0,59.0,74.0,77.0,76.0,64.0
Danny Rose,Spurs,Barclays PL,LB,77.0,86.0,69.0,68.0,80.0,38.0,65.0
Nathaniel Clyne,Liverpool,Barclays PL,RB,81.0,80.0,68.0,72.0,78.0,81.0,78.0
Chris Smalling,Manchester United,Barclays PL,CB,88.0,85.0,75.0,82.0,84.0,86.0,85.0
Gary Cahill,Chelsea,Barclays PL,CB,83.0,78.0,83.0,85.0,87.0,40.0,68.0
Raheem Sterling,Manchester City,Barclays PL,RW,85.0,72.0,61.0,70.0,73.0,89.0,85.0
Jordan Henderson,Liverpool,Barclays PL,CM,80.0,93.0,78.0,77.0,86.0,33.0,60.0
Eric Dier,Spurs,Barclays PL,CB,74.0,77.0,66.0,72.0,78.0,53.0,53.0
Jack Wilshere,Bournemouth,Barclays PL,CM,81.0,88.0,83.0,80.0,84.0,30.0,77.0
Ross Barkley,Everton,Barclays PL,CAM,81.0,73.0,84.0,67.0,74.0,47.0,89.0
Dele Alli,Spurs,Barclays PL,CAM,85.0,34.0,70.0,90.0,80.0,78.0,72.0
Adam Lallana,Liverpool,Barclays PL,LM,82.0,71.0,83.0,63.0,72.0,47.0,81.0
James Milner,Liverpool,Barclays PL,CM,80.0,68.0,82.0,83.0,77.0,55.0,70.0
Harry Kane,Spurs,Barclays PL,ST,93.0,85.0,96.0,84.0,93.0,46.0,90.0
Wayne Rooney,Manchester United,Barclays PL,ST,87.0,91.0,86.0,87.0,88.0,40.0,66.0
Jamie Vardy,Leicester City,Barclays PL,ST,91.0,92.0,94.0,85.0,92.0,30.0,78.0
Marcus Rashford,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
