NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Gábor Király,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Péter Gulácsi,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Dénes Dibusz,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Tamás Kádár,Lech Poznań,Ekstraklasa,LB,72.0,72.0,61.0,66.0,68.0,68.0,79.0
Barnabás Bese,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Richárd Guzmics,Wisła Kraków,Ekstraklasa,CB,68.0,79.0,32.0,44.0,40.0,68.0,80.0
Ádám Pintér,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Mihály Korhut,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Ádám Lang,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Roland Juhász,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Attila Fiola,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Ádám Nagy,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Gergő Lovrencsics,Lech Poznań,Ekstraklasa,RM,74.0,70.0,74.0,69.0,73.0,30.0,74.0
László Kleinheisler,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Zoltán Stieber,1. FC K'lautern,2. Bundesliga,RM,73.0,53.0,46.0,55.0,53.0,74.0,82.0
Ákos Elek,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Krisztián Németh,Sporting KC,MLS,ST,70.0,70.0,57.0,67.0,69.0,70.0,69.0
Ádám Szalai,Hannover 96,Bundesliga,ST,78.0,92.0,80.0,65.0,76.0,46.0,80.0
Balázs Dzsudzsák,Bursaspor,Süper Lig,LM,83.0,64.0,46.0,52.0,57.0,86.0,87.0
Nemanja Nikolić,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Tamás Priskin,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Zoltán Gera,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
