NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Hannes Þór Halldórsson,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Ingvar Jónsson,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Ögmundur Kristinsson,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Hjörtur Hermannsson,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Hörður Björgvin Magnússon,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Kári Árnason,Malmö FF,Allsvenskan,CB,72.0,74.0,74.0,70.0,71.0,25.0,62.0
Haukur Heiðar Hauksson,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Birkir Már Sævarsson,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Ragnar Sigurðsson,FC Krasnodar,Russian League,CB,80.0,79.0,73.0,75.0,68.0,80.0,83.0
Sverrir Ingi Ingason,Sport. Lokeren,Pro League,CB,70.0,76.0,51.0,55.0,53.0,73.0,73.0
Ari Freyr Skúlason,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Gylfi Sigurðsson,Swansea City,Barclays PL,CM,80.0,62.0,50.0,60.0,60.0,81.0,86.0
Jóhann Berg Guðmundsson,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Rúnar Már Sigurjónsson,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Aron Gunnarsson,Cardiff City,FL Championship,CM,74.0,76.0,80.0,66.0,70.0,32.0,75.0
Theódór Elmar Bjarnason,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Emil Hallfreðsson,Udinese,Serie A,CM,77.0,86.0,71.0,72.0,82.0,51.0,61.0
Arnór Ingvi Traustason,IFK Norrköping,Allsvenskan,LM,74.0,81.0,82.0,76.0,75.0,54.0,58.0
Birkir Bjarnason,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Kolbeinn Sigþórsson,FC Nantes,Ligue 1,ST,75.0,84.0,74.0,60.0,74.0,37.0,81.0
Alfreð Finnbogason,FC Augsburg,Bundesliga,ST,75.0,63.0,50.0,67.0,68.0,72.0,83.0
Eiður Guðjohnsen,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
