NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Gianluigi Buffon,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Federico Marchetti,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Salvatore Sirigu,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Matteo Darmian,Manchester United,Barclays PL,RB,81.0,74.0,69.0,82.0,81.0,75.0,69.0
Leonardo Bonucci,Juventus,Serie A,CB,85.0,42.0,76.0,94.0,83.0,56.0,60.0
Andrea Barzagli,Juventus,Serie A,CB,90.0,78.0,62.0,92.0,91.0,92.0,76.0
Giorgio Chiellini,Juventus,Serie A,CB,90.0,81.0,91.0,90.0,90.0,45.0,80.0
Mattia De Sciglio,Milan,Serie A,LB,76.0,69.0,72.0,73.0,76.0,63.0,72.0
Angelo Ogbonna,West Ham,Barclays PL,CB,79.0,78.0,56.0,59.0,67.0,84.0,78.0
Thiago Motta,PSG,Ligue 1,CDM,82.0,76.0,74.0,82.0,86.0,55.0,67.0
Stephan El Shaarawy,Roma,Serie A,LW,82.0,83.0,82.0,67.0,74.0,34.0,84.0
Stefano Sturaro,Juventus,Serie A,CM,77.0,80.0,56.0,69.0,78.0,76.0,77.0
Antonio Candreva,Lazio,Serie A,RW,84.0,78.0,80.0,86.0,85.0,45.0,60.0
Daniele De Rossi,Roma,Serie A,CDM,83.0,78.0,55.0,73.0,72.0,83.0,91.0
Marco Parolo,Lazio,Serie A,CM,81.0,61.0,41.0,57.0,59.0,84.0,76.0
Federico Bernardeschi,Fiorentina,Serie A,RW,75.0,79.0,66.0,75.0,84.0,26.0,50.0
Alessandro Florenzi,Roma,Serie A,RB,81.0,87.0,80.0,77.0,84.0,30.0,71.0
Emanuele Giaccherini,Napoli,Serie A,LW,76.0,85.0,49.0,70.0,67.0,74.0,76.0
Graziano Pellè,Southampton,Barclays PL,ST,81.0,93.0,75.0,76.0,82.0,77.0,80.0
Ciro Immobile,Torino,Serie A,ST,80.0,81.0,50.0,76.0,77.0,81.0,80.0
Simone Zaza,Juventus,Serie A,ST,78.0,80.0,76.0,78.0,81.0,63.0,73.0
Éder,LOSC Lille,Ligue 1,ST,82.0,87.0,80.0,79.0,84.0,54.0,83.0
