NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Michael McGovern,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Roy Carroll,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Alan Mannus,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Gareth McAuley,West Brom,Barclays PL,CB,80.0,75.0,60.0,64.0,60.0,81.0,80.0
Jonny Evans,West Brom,Barclays PL,CB,80.0,80.0,45.0,55.0,60.0,82.0,82.0
Chris Baird,Fulham,FL Championship,RB,71.0,82.0,71.0,53.0,68.0,26.0,66.0
Craig Cathcart,Watford,Barclays PL,CB,71.0,70.0,43.0,66.0,66.0,72.0,75.0
Aaron Hughes,Melbourne City,A-League,CB,70.0,67.0,71.0,57.0,68.0,36.0,68.0
Paddy McNair,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Lee Hodson,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Conor McLaughlin,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Luke McCullough,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Jamie Ward,Nott'm Forest,FL Championship,LW,71.0,56.0,61.0,68.0,67.0,72.0,77.0
Oliver Norwood,Brighton,FL Championship,CDM,71.0,73.0,70.0,60.0,73.0,38.0,69.0
Shane Ferguson,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Steven Davis,Southampton,Barclays PL,CAM,80.0,87.0,80.0,77.0,87.0,40.0,50.0
Niall McGinn,Aberdeen,Scottish Prem,RM,70.0,44.0,67.0,73.0,75.0,37.0,54.0
Stuart Dallas,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Corry Evans,Blackburn Rvrs,FL Championship,CDM,69.0,72.0,45.0,66.0,60.0,64.0,80.0
Conor Washington,Peterborough,Football League,ST,70.0,72.0,61.0,65.0,73.0,58.0,65.0
Kyle Lafferty,Birmingham City,FL Championship,ST,70.0,67.0,23.0,33.0,38.0,75.0,70.0
Will Grigg,Wigan Athletic,Football League,ST,74.0,67.0,74.0,70.0,75.0,40.0,60.0
