NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Wojciech Szczęsny,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Łukasz Fabiański,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Artur Boruc,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Thiago Cionek,Palermo,Serie A,CB,70.0,85.0,68.0,65.0,75.0,34.0,59.0
Łukasz Piszczek,Bor. Dortmund,Bundesliga,RB,81.0,43.0,73.0,82.0,78.0,73.0,65.0
Bartosz Salamon,Cagliari,Serie B,CB,69.0,81.0,65.0,62.0,73.0,31.0,63.0
Kamil Glik,AS Monaco,Ligue 1,CB,82.0,55.0,63.0,79.0,70.0,77.0,83.0
Michał Pazdan,Legia Warszawa,Ekstraklasa,CB,68.0,52.0,64.0,76.0,59.0,50.0,66.0
Artur Jędrzejczyk,FC Krasnodar,Russian League,RB,72.0,68.0,70.0,70.0,75.0,52.0,77.0
Jakub Wawrzyniak,Lechia Gdańsk,Ekstraklasa,LB,68.0,72.0,63.0,65.0,71.0,33.0,55.0
Bartosz Kapustka,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Piotr Zieliński,Napoli,Serie A,CM,71.0,68.0,20.0,40.0,50.0,78.0,79.0
Sławomir Peszko,Lechia Gdańsk,Ekstraklasa,LM,71.0,82.0,64.0,65.0,78.0,24.0,39.0
Jakub Błaszczykowski,Bor. Dortmund,Bundesliga,RM,83.0,78.0,90.0,78.0,80.0,44.0,82.0
Filip Starzyński,Zagłębie Lubin,Ekstraklasa,CAM,69.0,70.0,34.0,39.0,44.0,73.0,70.0
Grzegorz Krychowiak,PSG,Ligue 1,CDM,84.0,88.0,87.0,68.0,82.0,34.0,68.0
Karol Linetty,Lech Poznań,Ekstraklasa,CAM,74.0,79.0,73.0,70.0,83.0,40.0,60.0
Tomasz Jodłowiec,Legia Warszawa,Ekstraklasa,CDM,70.0,49.0,23.0,43.0,46.0,70.0,78.0
Krzysztof Mączyński,Wisła Kraków,Ekstraklasa,CM,68.0,86.0,61.0,61.0,68.0,21.0,60.0
Kamil Grosicki,Stade Rennais,Ligue 1,LM,80.0,66.0,31.0,60.0,50.0,82.0,80.0
Robert Lewandowski,FC Bayern,Bundesliga,ST,98.0,90.0,99.0,89.0,97.0,50.0,94.0
Arkadiusz Milik,Ajax,Eredivisie,ST,87.0,88.0,80.0,84.0,86.0,88.0,78.0
